year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,138
2024,Attempted murder,43
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,35
2024,Burglary at residential premises,50
2024,Carjacking,12
2024,Commercial crime,8
2024,Common assault,53
2024,Common robbery,9
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,0
2024,Drug-related crime,15
2024,Illegal possession of firearms and ammunition,30
2024,Kidnapping,4
2024,Malicious damage to property,66
2024,Murder,97
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,69
2024,Robbery at non-residential premises,18
2024,Robbery at residential premises,83
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,153
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,0
2024,Stock-theft,244
2024,Street Robbery,116
2024,TRIO crimes,113
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,7
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,149
2023,Attempted murder,41
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,63
2023,Burglary at residential premises,45
2023,Carjacking,9
2023,Commercial crime,16
2023,Common assault,53
2023,Common robbery,6
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,11
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,4
2023,Malicious damage to property,71
2023,Murder,122
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,72
2023,Robbery at non-residential premises,15
2023,Robbery at residential premises,89
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,155
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,1
2023,Stock-theft,176
2023,Street Robbery,40
2023,TRIO crimes,113
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,6
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,174
2022,Attempted murder,38
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,37
2022,Burglary at residential premises,64
2022,Carjacking,4
2022,Commercial crime,15
2022,Common assault,42
2022,Common robbery,10
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,10
2022,Illegal possession of firearms and ammunition,94
2022,Kidnapping,1
2022,Malicious damage to property,54
2022,Murder,74
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,74
2022,Robbery at non-residential premises,16
2022,Robbery at residential premises,49
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,133
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,0
2022,Stock-theft,168
2022,Street Robbery,62
2022,TRIO crimes,69
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,2
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,137
2021,Attempted murder,52
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,43
2021,Burglary at residential premises,55
2021,Carjacking,5
2021,Commercial crime,15
2021,Common assault,38
2021,Common robbery,7
2021,Contact sexual offences,0
2021,Crimen Injuria,4
2021,Culpable homicide,18
2021,Driving under the influence of alcohol or drugs,1
2021,Drug-related crime,8
2021,Illegal possession of firearms and ammunition,53
2021,Kidnapping,4
2021,Malicious damage to property,93
2021,Murder,77
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,66
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,52
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,144
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,2
2021,Shoplifting,0
2021,Stock-theft,244
2021,Street Robbery,59
2021,TRIO crimes,83
2021,Theft of motor vehicle and motorcycle,1
2021,Theft out of or from motor vehicle,3
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,136
2020,Attempted murder,55
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,53
2020,Burglary at residential premises,49
2020,Carjacking,7
2020,Commercial crime,6
2020,Common assault,29
2020,Common robbery,7
2020,Contact sexual offences,0
2020,Crimen Injuria,2
2020,Culpable homicide,14
2020,Driving under the influence of alcohol or drugs,0
2020,Drug-related crime,20
2020,Illegal possession of firearms and ammunition,53
2020,Kidnapping,7
2020,Malicious damage to property,71
2020,Murder,73
2020,Neglect and ill-treatment of children,1
2020,Public violence,0
2020,Rape,92
2020,Robbery at non-residential premises,18
2020,Robbery at residential premises,39
2020,Robbery of cash in transit,2
2020,Robbery with aggravating circumstances,105
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,8
2020,Shoplifting,2
2020,Stock-theft,231
2020,Street Robbery,37
2020,TRIO crimes,64
2020,Theft of motor vehicle and motorcycle,5
2020,Theft out of or from motor vehicle,8
2020,Truck hijacking,2
2019,Abduction,2
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,131
2019,Attempted murder,37
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,68
2019,Burglary at residential premises,42
2019,Carjacking,14
2019,Commercial crime,5
2019,Common assault,11
2019,Common robbery,8
2019,Contact sexual offences,2
2019,Crimen Injuria,0
2019,Culpable homicide,17
2019,Driving under the influence of alcohol or drugs,1
2019,Drug-related crime,28
2019,Illegal possession of firearms and ammunition,23
2019,Kidnapping,2
2019,Malicious damage to property,73
2019,Murder,87
2019,Neglect and ill-treatment of children,0
2019,Public violence,0
2019,Rape,88
2019,Robbery at non-residential premises,32
2019,Robbery at residential premises,13
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,107
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,5
2019,Shoplifting,1
2019,Stock-theft,261
2019,Street Robbery,45
2019,TRIO crimes,59
2019,Theft of motor vehicle and motorcycle,3
2019,Theft out of or from motor vehicle,5
2019,Truck hijacking,3
2018,Abduction,2
2018,Arson,10
2018,Assault with the intent to inflict grievous bodily harm,129
2018,Attempted murder,29
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,57
2018,Burglary at residential premises,43
2018,Carjacking,7
2018,Commercial crime,6
2018,Common assault,18
2018,Common robbery,6
2018,Contact sexual offences,3
2018,Crimen Injuria,2
2018,Culpable homicide,14
2018,Driving under the influence of alcohol or drugs,2
2018,Drug-related crime,106
2018,Illegal possession of firearms and ammunition,34
2018,Kidnapping,4
2018,Malicious damage to property,67
2018,Murder,48
2018,Neglect and ill-treatment of children,2
2018,Public violence,0
2018,Rape,65
2018,Robbery at non-residential premises,16
2018,Robbery at residential premises,13
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,57
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,9
2018,Shoplifting,0
2018,Stock-theft,179
2018,Street Robbery,19
2018,TRIO crimes,36
2018,Theft of motor vehicle and motorcycle,7
2018,Theft out of or from motor vehicle,5
2018,Truck hijacking,2
2017,Abduction,1
2017,Arson,11
2017,Assault with the intent to inflict grievous bodily harm,152
2017,Attempted murder,28
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,55
2017,Burglary at residential premises,35
2017,Carjacking,4
2017,Commercial crime,3
2017,Common assault,27
2017,Common robbery,11
2017,Contact sexual offences,3
2017,Crimen Injuria,1
2017,Culpable homicide,17
2017,Driving under the influence of alcohol or drugs,3
2017,Drug-related crime,125
2017,Illegal possession of firearms and ammunition,23
2017,Kidnapping,3
2017,Malicious damage to property,76
2017,Murder,44
2017,Neglect and ill-treatment of children,0
2017,Public violence,3
2017,Rape,58
2017,Robbery at non-residential premises,14
2017,Robbery at residential premises,22
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,73
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,5
2017,Shoplifting,0
2017,Stock-theft,214
2017,Street Robbery,32
2017,TRIO crimes,40
2017,Theft of motor vehicle and motorcycle,4
2017,Theft out of or from motor vehicle,13
2017,Truck hijacking,1
2016,Arson,3
2016,Assault with the intent to inflict grievous bodily harm,102
2016,Attempted murder,24
2016,Attempted sexual offences,0
2016,Bank robbery,0
2016,Burglary at non-residential premises,33
2016,Burglary at residential premises,28
2016,Carjacking,1
2016,Commercial crime,2
2016,Common assault,28
2016,Common robbery,4
2016,Contact sexual offences,2
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,0
2016,Drug-related crime,122
2016,Illegal possession of firearms and ammunition,38
2016,Kidnapping,3
2016,Malicious damage to property,51
2016,Murder,57
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,67
2016,Robbery at non-residential premises,15
2016,Robbery at residential premises,13
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,45
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,7
2016,Shoplifting,1
2016,Stock-theft,161
2016,Street Robbery,16
2016,TRIO crimes,29
2016,Theft of motor vehicle and motorcycle,4
2016,Theft out of or from motor vehicle,12
2016,Truck hijacking,0
2015,Arson,3
2015,Assault with the intent to inflict grievous bodily harm,116
2015,Attempted murder,22
2015,Attempted sexual offences,0
2015,Bank robbery,0
2015,Burglary at non-residential premises,34
2015,Burglary at residential premises,33
2015,Carjacking,3
2015,Commercial crime,2
2015,Common assault,17
2015,Common robbery,8
2015,Contact sexual offences,2
2015,Crimen Injuria,2
2015,Culpable homicide,19
2015,Driving under the influence of alcohol or drugs,0
2015,Drug-related crime,160
2015,Illegal possession of firearms and ammunition,46
2015,Kidnapping,3
2015,Malicious damage to property,32
2015,Murder,41
2015,Neglect and ill-treatment of children,0
2015,Public violence,0
2015,Rape,69
2015,Robbery at non-residential premises,11
2015,Robbery at residential premises,15
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,48
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,6
2015,Shoplifting,2
2015,Stock-theft,109
2015,Street Robbery,19
2015,TRIO crimes,29
2015,Theft of motor vehicle and motorcycle,7
2015,Theft out of or from motor vehicle,9
2015,Truck hijacking,0
2014,Arson,5
2014,Assault with the intent to inflict grievous bodily harm,127
2014,Attempted murder,12
2014,Attempted sexual offences,0
2014,Bank robbery,0
2014,Burglary at non-residential premises,39
2014,Burglary at residential premises,31
2014,Carjacking,1
2014,Commercial crime,5
2014,Common assault,35
2014,Common robbery,6
2014,Contact sexual offences,1
2014,Crimen Injuria,2
2014,Culpable homicide,23
2014,Driving under the influence of alcohol or drugs,0
2014,Drug-related crime,131
2014,Illegal possession of firearms and ammunition,33
2014,Kidnapping,1
2014,Malicious damage to property,43
2014,Murder,42
2014,Neglect and ill-treatment of children,1
2014,Public violence,0
2014,Rape,65
2014,Robbery at non-residential premises,17
2014,Robbery at residential premises,13
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,52
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,2
2014,Shoplifting,0
2014,Stock-theft,108
2014,Street Robbery,20
2014,TRIO crimes,31
2014,Theft of motor vehicle and motorcycle,5
2014,Theft out of or from motor vehicle,7
2014,Truck hijacking,1
2013,Arson,5
2013,Assault with the intent to inflict grievous bodily harm,160
2013,Attempted murder,21
2013,Attempted sexual offences,1
2013,Bank robbery,0
2013,Burglary at non-residential premises,26
2013,Burglary at residential premises,57
2013,Carjacking,0
2013,Commercial crime,6
2013,Common assault,36
2013,Common robbery,4
2013,Contact sexual offences,3
2013,Crimen Injuria,4
2013,Culpable homicide,18
2013,Driving under the influence of alcohol or drugs,1
2013,Drug-related crime,99
2013,Illegal possession of firearms and ammunition,26
2013,Kidnapping,4
2013,Malicious damage to property,48
2013,Murder,50
2013,Neglect and ill-treatment of children,1
2013,Public violence,0
2013,Rape,67
2013,Robbery at non-residential premises,13
2013,Robbery at residential premises,15
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,52
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,6
2013,Shoplifting,0
2013,Stock-theft,214
2013,Street Robbery,24
2013,TRIO crimes,28
2013,Theft of motor vehicle and motorcycle,10
2013,Theft out of or from motor vehicle,14
2013,Truck hijacking,0
2012,Arson,8
2012,Assault with the intent to inflict grievous bodily harm,192
2012,Attempted murder,21
2012,Attempted sexual offences,1
2012,Bank robbery,0
2012,Burglary at non-residential premises,32
2012,Burglary at residential premises,56
2012,Carjacking,1
2012,Commercial crime,2
2012,Common assault,28
2012,Common robbery,7
2012,Contact sexual offences,0
2012,Crimen Injuria,2
2012,Culpable homicide,15
2012,Driving under the influence of alcohol or drugs,3
2012,Drug-related crime,68
2012,Illegal possession of firearms and ammunition,15
2012,Kidnapping,1
2012,Malicious damage to property,55
2012,Murder,49
2012,Neglect and ill-treatment of children,0
2012,Public violence,0
2012,Rape,73
