year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,222
2024,Attempted murder,27
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,106
2024,Burglary at residential premises,116
2024,Carjacking,22
2024,Commercial crime,35
2024,Common assault,56
2024,Common robbery,18
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,1
2024,Drug-related crime,34
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,4
2024,Malicious damage to property,93
2024,Murder,77
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,61
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,116
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,19
2024,Stock-theft,303
2024,Street Robbery,72
2024,TRIO crimes,69
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,137
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,185
2023,Attempted murder,27
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,81
2023,Burglary at residential premises,99
2023,Carjacking,6
2023,Commercial crime,39
2023,Common assault,45
2023,Common robbery,13
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,7
2023,Drug-related crime,22
2023,Illegal possession of firearms and ammunition,36
2023,Kidnapping,8
2023,Malicious damage to property,92
2023,Murder,44
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,70
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,18
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,98
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,15
2023,Stock-theft,291
2023,Street Robbery,39
2023,TRIO crimes,56
2023,Theft of motor vehicle and motorcycle,15
2023,Theft out of or from motor vehicle,43
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,220
2022,Attempted murder,21
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,50
2022,Burglary at residential premises,103
2022,Carjacking,6
2022,Commercial crime,57
2022,Common assault,55
2022,Common robbery,24
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,21
2022,Drug-related crime,33
2022,Illegal possession of firearms and ammunition,25
2022,Kidnapping,2
2022,Malicious damage to property,76
2022,Murder,44
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,58
2022,Robbery at non-residential premises,16
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,79
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,14
2022,Shoplifting,20
2022,Stock-theft,227
2022,Street Robbery,34
2022,TRIO crimes,43
2022,Theft of motor vehicle and motorcycle,10
2022,Theft out of or from motor vehicle,52
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,8
