year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,264
2024,Attempted murder,42
2024,Attempted sexual offences,8
2024,Bank robbery,0
2024,Burglary at non-residential premises,71
2024,Burglary at residential premises,102
2024,Carjacking,13
2024,Commercial crime,43
2024,Common assault,110
2024,Common robbery,22
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,0
2024,Drug-related crime,70
2024,Illegal possession of firearms and ammunition,37
2024,Kidnapping,11
2024,Malicious damage to property,83
2024,Murder,95
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,101
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,3
2024,Robbery with aggravating circumstances,132
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,1
2024,Stock-theft,286
2024,Street Robbery,66
2024,TRIO crimes,63
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,14
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,263
2023,Attempted murder,34
2023,Attempted sexual offences,9
2023,Bank robbery,0
2023,Burglary at non-residential premises,82
2023,Burglary at residential premises,127
2023,Carjacking,17
2023,Commercial crime,35
2023,Common assault,129
2023,Common robbery,12
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,20
2023,Drug-related crime,99
2023,Illegal possession of firearms and ammunition,30
2023,Kidnapping,11
2023,Malicious damage to property,89
2023,Murder,61
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,100
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,27
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,122
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,6
2023,Stock-theft,240
2023,Street Robbery,43
2023,TRIO crimes,76
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,21
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,12
2022,Assault with the intent to inflict grievous bodily harm,212
2022,Attempted murder,35
2022,Attempted sexual offences,10
2022,Bank robbery,0
2022,Burglary at non-residential premises,61
2022,Burglary at residential premises,127
2022,Carjacking,11
2022,Commercial crime,43
2022,Common assault,118
2022,Common robbery,14
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,47
2022,Drug-related crime,23
2022,Illegal possession of firearms and ammunition,23
2022,Kidnapping,8
2022,Malicious damage to property,110
2022,Murder,80
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,88
2022,Robbery at non-residential premises,32
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,97
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,1
2022,Shoplifting,9
2022,Stock-theft,241
2022,Street Robbery,37
2022,TRIO crimes,59
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,23
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,10
2021,Assault with the intent to inflict grievous bodily harm,201
2021,Attempted murder,26
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,62
2021,Burglary at residential premises,109
2021,Carjacking,6
2021,Commercial crime,38
2021,Common assault,106
2021,Common robbery,9
2021,Contact sexual offences,0
2021,Crimen Injuria,3
2021,Culpable homicide,21
2021,Driving under the influence of alcohol or drugs,12
2021,Drug-related crime,49
2021,Illegal possession of firearms and ammunition,40
2021,Kidnapping,5
2021,Malicious damage to property,62
2021,Murder,55
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,75
2021,Robbery at non-residential premises,40
2021,Robbery at residential premises,29
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,112
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,1
2021,Shoplifting,9
2021,Stock-theft,197
2021,Street Robbery,35
2021,TRIO crimes,75
2021,Theft of motor vehicle and motorcycle,8
2021,Theft out of or from motor vehicle,18
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,15
2020,Assault with the intent to inflict grievous bodily harm,246
2020,Attempted murder,40
2020,Attempted sexual offences,6
2020,Bank robbery,0
2020,Burglary at non-residential premises,54
2020,Burglary at residential premises,165
2020,Carjacking,7
2020,Commercial crime,44
2020,Common assault,87
2020,Common robbery,17
2020,Contact sexual offences,1
2020,Crimen Injuria,4
2020,Culpable homicide,27
2020,Driving under the influence of alcohol or drugs,0
2020,Drug-related crime,183
2020,Illegal possession of firearms and ammunition,40
2020,Kidnapping,8
2020,Malicious damage to property,94
2020,Murder,54
2020,Neglect and ill-treatment of children,0
2020,Public violence,0
2020,Rape,91
2020,Robbery at non-residential premises,39
2020,Robbery at residential premises,12
2020,Robbery of cash in transit,2
2020,Robbery with aggravating circumstances,126
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,7
2020,Shoplifting,6
2020,Stock-theft,187
2020,Street Robbery,62
2020,TRIO crimes,58
2020,Theft of motor vehicle and motorcycle,6
2020,Theft out of or from motor vehicle,18
2020,Truck hijacking,4
2019,Abduction,2
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,215
2019,Attempted murder,19
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,96
2019,Burglary at residential premises,74
2019,Carjacking,10
2019,Commercial crime,39
2019,Common assault,58
2019,Common robbery,14
2019,Contact sexual offences,3
