year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,311
2024,Attempted murder,49
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,102
2024,Burglary at residential premises,88
2024,Carjacking,55
2024,Commercial crime,41
2024,Common assault,162
2024,Common robbery,22
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,6
2024,Drug-related crime,35
2024,Illegal possession of firearms and ammunition,40
2024,Kidnapping,9
2024,Malicious damage to property,115
2024,Murder,84
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,143
2024,Robbery at non-residential premises,46
2024,Robbery at residential premises,25
2024,Robbery of cash in transit,4
2024,Robbery with aggravating circumstances,197
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,19
2024,Stock-theft,56
2024,Street Robbery,131
2024,TRIO crimes,126
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,13
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,342
2023,Attempted murder,41
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,90
2023,Burglary at residential premises,137
2023,Carjacking,28
2023,Commercial crime,24
2023,Common assault,153
2023,Common robbery,22
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,4
2023,Drug-related crime,106
2023,Illegal possession of firearms and ammunition,58
2023,Kidnapping,10
2023,Malicious damage to property,101
2023,Murder,83
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,148
2023,Robbery at non-residential premises,67
2023,Robbery at residential premises,20
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,167
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,14
2023,Stock-theft,85
2023,Street Robbery,50
2023,TRIO crimes,115
2023,Theft of motor vehicle and motorcycle,20
2023,Theft out of or from motor vehicle,9
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,314
2022,Attempted murder,30
2022,Attempted sexual offences,15
2022,Bank robbery,0
2022,Burglary at non-residential premises,62
2022,Burglary at residential premises,94
2022,Carjacking,23
2022,Commercial crime,28
2022,Common assault,107
2022,Common robbery,20
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,18
2022,Drug-related crime,155
2022,Illegal possession of firearms and ammunition,62
2022,Kidnapping,4
2022,Malicious damage to property,98
2022,Murder,90
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,143
2022,Robbery at non-residential premises,43
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,133
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,13
2022,Shoplifting,14
2022,Stock-theft,89
2022,Street Robbery,51
2022,TRIO crimes,81
2022,Theft of motor vehicle and motorcycle,18
2022,Theft out of or from motor vehicle,10
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,16
2021,Assault with the intent to inflict grievous bodily harm,308
2021,Attempted murder,45
2021,Attempted sexual offences,8
2021,Bank robbery,0
2021,Burglary at non-residential premises,60
2021,Burglary at residential premises,172
2021,Carjacking,14
2021,Commercial crime,22
2021,Common assault,107
2021,Common robbery,23
2021,Contact sexual offences,0
2021,Crimen Injuria,13
2021,Culpable homicide,24
2021,Driving under the influence of alcohol or drugs,1
2021,Drug-related crime,55
2021,Illegal possession of firearms and ammunition,59
2021,Kidnapping,8
2021,Malicious damage to property,102
2021,Murder,81
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,125
2021,Robbery at non-residential premises,43
2021,Robbery at residential premises,18
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,120
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,18
2021,Shoplifting,20
2021,Stock-theft,94
2021,Street Robbery,45
2021,TRIO crimes,75
2021,Theft of motor vehicle and motorcycle,7
2021,Theft out of or from motor vehicle,19
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,344
2020,Attempted murder,44
2020,Attempted sexual offences,10
2020,Bank robbery,0
2020,Burglary at non-residential premises,92
2020,Burglary at residential premises,168
2020,Carjacking,8
2020,Commercial crime,24
2020,Common assault,87
2020,Common robbery,21
2020,Contact sexual offences,3
2020,Crimen Injuria,7
2020,Culpable homicide,22
2020,Driving under the influence of alcohol or drugs,6
2020,Drug-related crime,75
2020,Illegal possession of firearms and ammunition,61
2020,Kidnapping,10
2020,Malicious damage to property,82
2020,Murder,73
2020,Neglect and ill-treatment of children,0
2020,Public violence,0
2020,Rape,167
2020,Robbery at non-residential premises,43
2020,Robbery at residential premises,17
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,145
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,3
2020,Shoplifting,22
2020,Stock-theft,86
2020,Street Robbery,74
2020,TRIO crimes,68
2020,Theft of motor vehicle and motorcycle,14
2020,Theft out of or from motor vehicle,24
2020,Truck hijacking,2
2019,Abduction,1
2019,Arson,17
2019,Assault with the intent to inflict grievous bodily harm,344
2019,Attempted murder,18
2019,Attempted sexual offences,13
2019,Bank robbery,0
2019,Burglary at non-residential premises,115
2019,Burglary at residential premises,135
2019,Carjacking,8
2019,Commercial crime,19
2019,Common assault,92
2019,Common robbery,21
2019,Contact sexual offences,2
2019,Crimen Injuria,6
2019,Culpable homicide,29
2019,Driving under the influence of alcohol or drugs,5
2019,Drug-related crime,183
2019,Illegal possession of firearms and ammunition,50
2019,Kidnapping,8
2019,Malicious damage to property,101
2019,Murder,82
2019,Neglect and ill-treatment of children,2
2019,Public violence,3
2019,Rape,147
2019,Robbery at non-residential premises,40
2019,Robbery at residential premises,14
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,108
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,34
2019,Stock-theft,121
2019,Street Robbery,44
2019,TRIO crimes,62
2019,Theft of motor vehicle and motorcycle,12
2019,Theft out of or from motor vehicle,18
2019,Truck hijacking,1
2018,Abduction,2
2018,Arson,9
2018,Assault with the intent to inflict grievous bodily harm,362
2018,Attempted murder,21
2018,Attempted sexual offences,7
2018,Bank robbery,0
2018,Burglary at non-residential premises,108
2018,Burglary at residential premises,110
2018,Carjacking,2
2018,Commercial crime,16
2018,Common assault,87
2018,Common robbery,18
2018,Contact sexual offences,2
2018,Crimen Injuria,1
2018,Culpable homicide,31
2018,Driving under the influence of alcohol or drugs,0
2018,Drug-related crime,191
2018,Illegal possession of firearms and ammunition,51
2018,Kidnapping,6
2018,Malicious damage to property,106
2018,Murder,90
2018,Neglect and ill-treatment of children,3
2018,Public violence,0
2018,Rape,143
2018,Robbery at non-residential premises,57
2018,Robbery at residential premises,23
