year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,310
2024,Attempted murder,10
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,55
2024,Burglary at residential premises,80
2024,Carjacking,0
2024,Commercial crime,49
2024,Common assault,115
2024,Common robbery,12
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,27
2024,Drug-related crime,15
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,0
2024,Malicious damage to property,68
2024,Murder,46
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,83
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,38
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,18
2024,Stock-theft,40
2024,Street Robbery,18
2024,TRIO crimes,17
2024,Theft of motor vehicle and motorcycle,1
2024,Theft out of or from motor vehicle,17
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,10
2023,Assault with the intent to inflict grievous bodily harm,282
2023,Attempted murder,19
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,62
2023,Burglary at residential premises,86
2023,Carjacking,3
2023,Commercial crime,33
2023,Common assault,125
2023,Common robbery,4
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,10
2023,Illegal possession of firearms and ammunition,41
2023,Kidnapping,7
2023,Malicious damage to property,62
2023,Murder,60
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,83
2023,Robbery at non-residential premises,33
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,59
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,26
2023,Stock-theft,36
2023,Street Robbery,10
2023,TRIO crimes,49
2023,Theft of motor vehicle and motorcycle,8
2023,Theft out of or from motor vehicle,19
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,309
2022,Attempted murder,14
2022,Attempted sexual offences,10
2022,Bank robbery,0
2022,Burglary at non-residential premises,46
2022,Burglary at residential premises,88
2022,Carjacking,2
2022,Commercial crime,54
2022,Common assault,109
2022,Common robbery,13
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,6
2022,Drug-related crime,15
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,5
2022,Malicious damage to property,54
2022,Murder,57
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,92
2022,Robbery at non-residential premises,20
2022,Robbery at residential premises,13
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,55
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,15
2022,Stock-theft,38
2022,Street Robbery,20
2022,TRIO crimes,35
2022,Theft of motor vehicle and motorcycle,6
2022,Theft out of or from motor vehicle,25
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,13
2021,Assault with the intent to inflict grievous bodily harm,317
2021,Attempted murder,26
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,52
2021,Burglary at residential premises,69
2021,Carjacking,2
2021,Commercial crime,29
2021,Common assault,110
2021,Common robbery,7
2021,Contact sexual offences,0
2021,Crimen Injuria,15
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,18
2021,Drug-related crime,32
2021,Illegal possession of firearms and ammunition,17
2021,Kidnapping,0
2021,Malicious damage to property,59
2021,Murder,41
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,63
2021,Robbery at non-residential premises,34
2021,Robbery at residential premises,10
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,69
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,0
2021,Shoplifting,27
2021,Stock-theft,49
2021,Street Robbery,23
2021,TRIO crimes,46
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,25
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,16
2020,Assault with the intent to inflict grievous bodily harm,303
2020,Attempted murder,19
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,53
2020,Burglary at residential premises,90
2020,Carjacking,1
2020,Commercial crime,57
2020,Common assault,114
2020,Common robbery,21
2020,Contact sexual offences,1
2020,Crimen Injuria,14
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,24
2020,Drug-related crime,9
2020,Illegal possession of firearms and ammunition,17
