year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,420
2024,Attempted murder,25
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,116
2024,Burglary at residential premises,194
2024,Carjacking,5
2024,Commercial crime,118
2024,Common assault,160
2024,Common robbery,17
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,106
2024,Drug-related crime,71
2024,Illegal possession of firearms and ammunition,28
2024,Kidnapping,7
2024,Malicious damage to property,108
2024,Murder,60
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,118
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,113
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,17
2024,Shoplifting,101
2024,Stock-theft,304
2024,Street Robbery,49
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,26
2024,Theft out of or from motor vehicle,69
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,335
2023,Attempted murder,26
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,69
2023,Burglary at residential premises,223
2023,Carjacking,12
2023,Commercial crime,100
2023,Common assault,185
2023,Common robbery,20
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,104
2023,Drug-related crime,115
2023,Illegal possession of firearms and ammunition,48
2023,Kidnapping,5
2023,Malicious damage to property,117
2023,Murder,68
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,115
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,121
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,19
2023,Shoplifting,83
2023,Stock-theft,185
2023,Street Robbery,66
2023,TRIO crimes,54
2023,Theft of motor vehicle and motorcycle,19
2023,Theft out of or from motor vehicle,64
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,13
2022,Assault with the intent to inflict grievous bodily harm,367
2022,Attempted murder,25
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,89
2022,Burglary at residential premises,217
2022,Carjacking,6
2022,Commercial crime,98
2022,Common assault,205
2022,Common robbery,23
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,84
2022,Drug-related crime,65
2022,Illegal possession of firearms and ammunition,14
2022,Kidnapping,12
2022,Malicious damage to property,120
2022,Murder,59
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,138
2022,Robbery at non-residential premises,31
2022,Robbery at residential premises,34
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,145
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,96
2022,Stock-theft,167
2022,Street Robbery,73
2022,TRIO crimes,71
2022,Theft of motor vehicle and motorcycle,16
2022,Theft out of or from motor vehicle,58
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,323
2021,Attempted murder,20
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,106
2021,Burglary at residential premises,207
2021,Carjacking,9
2021,Commercial crime,87
2021,Common assault,170
2021,Common robbery,28
2021,Contact sexual offences,3
2021,Crimen Injuria,21
2021,Culpable homicide,31
2021,Driving under the influence of alcohol or drugs,36
2021,Drug-related crime,126
2021,Illegal possession of firearms and ammunition,16
2021,Kidnapping,5
2021,Malicious damage to property,139
2021,Murder,41
2021,Neglect and ill-treatment of children,3
2021,Public violence,1
2021,Rape,89
2021,Robbery at non-residential premises,27
2021,Robbery at residential premises,30
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,131
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,15
2021,Shoplifting,88
2021,Stock-theft,221
2021,Street Robbery,64
2021,TRIO crimes,66
2021,Theft of motor vehicle and motorcycle,10
2021,Theft out of or from motor vehicle,70
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,18
2020,Assault with the intent to inflict grievous bodily harm,355
2020,Attempted murder,27
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,113
2020,Burglary at residential premises,321
2020,Carjacking,8
2020,Commercial crime,179
2020,Common assault,215
2020,Common robbery,19
2020,Contact sexual offences,3
2020,Crimen Injuria,26
2020,Culpable homicide,28
2020,Driving under the influence of alcohol or drugs,43
2020,Drug-related crime,87
2020,Illegal possession of firearms and ammunition,16
2020,Kidnapping,13
2020,Malicious damage to property,114
2020,Murder,53
2020,Neglect and ill-treatment of children,2
2020,Public violence,3
2020,Rape,141
2020,Robbery at non-residential premises,34
2020,Robbery at residential premises,30
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,143
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,17
2020,Shoplifting,105
2020,Stock-theft,241
2020,Street Robbery,70
2020,TRIO crimes,72
2020,Theft of motor vehicle and motorcycle,9
2020,Theft out of or from motor vehicle,87
2020,Truck hijacking,1
2019,Abduction,2
2019,Arson,15
2019,Assault with the intent to inflict grievous bodily harm,285
2019,Attempted murder,37
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,88
2019,Burglary at residential premises,272
2019,Carjacking,5
2019,Commercial crime,131
2019,Common assault,144
2019,Common robbery,31
2019,Contact sexual offences,4
2019,Crimen Injuria,17
2019,Culpable homicide,36
2019,Driving under the influence of alcohol or drugs,84
2019,Drug-related crime,88
2019,Illegal possession of firearms and ammunition,19
2019,Kidnapping,13
2019,Malicious damage to property,102
2019,Murder,65
2019,Neglect and ill-treatment of children,3
2019,Public violence,1
2019,Rape,117
2019,Robbery at non-residential premises,34
2019,Robbery at residential premises,42
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,176
