year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,204
2024,Attempted murder,27
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,57
2024,Burglary at residential premises,75
2024,Carjacking,5
2024,Commercial crime,27
2024,Common assault,52
2024,Common robbery,17
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,17
2024,Drug-related crime,39
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,5
2024,Malicious damage to property,60
2024,Murder,108
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,92
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,22
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,69
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,3
2024,Stock-theft,35
2024,Street Robbery,51
2024,TRIO crimes,51
2024,Theft of motor vehicle and motorcycle,3
2024,Theft out of or from motor vehicle,17
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,235
2023,Attempted murder,15
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,55
2023,Burglary at residential premises,71
2023,Carjacking,5
2023,Commercial crime,18
2023,Common assault,45
2023,Common robbery,8
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,31
2023,Illegal possession of firearms and ammunition,44
2023,Kidnapping,5
2023,Malicious damage to property,58
2023,Murder,105
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,93
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,25
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,87
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,5
2023,Stock-theft,33
2023,Street Robbery,30
2023,TRIO crimes,57
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,14
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,238
2022,Attempted murder,17
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,59
2022,Burglary at residential premises,87
2022,Carjacking,8
2022,Commercial crime,24
2022,Common assault,56
2022,Common robbery,4
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,56
2022,Illegal possession of firearms and ammunition,26
2022,Kidnapping,6
2022,Malicious damage to property,75
2022,Murder,106
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,90
2022,Robbery at non-residential premises,24
2022,Robbery at residential premises,36
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,86
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,3
2022,Shoplifting,2
2022,Stock-theft,43
2022,Street Robbery,18
2022,TRIO crimes,68
2022,Theft of motor vehicle and motorcycle,6
2022,Theft out of or from motor vehicle,7
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
