year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,217
2024,Attempted murder,28
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,41
2024,Carjacking,0
2024,Commercial crime,18
2024,Common assault,102
2024,Common robbery,7
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,0
2024,Drug-related crime,15
2024,Illegal possession of firearms and ammunition,1
2024,Kidnapping,1
2024,Malicious damage to property,73
2024,Murder,61
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,93
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,46
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,19
2024,Stock-theft,16
2024,Street Robbery,22
2024,TRIO crimes,22
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,9
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,203
2023,Attempted murder,26
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,62
2023,Burglary at residential premises,64
2023,Carjacking,3
2023,Commercial crime,26
2023,Common assault,114
2023,Common robbery,19
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,15
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,3
2023,Malicious damage to property,74
2023,Murder,79
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,89
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,62
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,11
2023,Stock-theft,17
2023,Street Robbery,25
2023,TRIO crimes,36
2023,Theft of motor vehicle and motorcycle,1
2023,Theft out of or from motor vehicle,6
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,205
2022,Attempted murder,20
2022,Attempted sexual offences,3
2022,Bank robbery,1
2022,Burglary at non-residential premises,38
2022,Burglary at residential premises,89
2022,Carjacking,6
2022,Commercial crime,20
2022,Common assault,95
2022,Common robbery,9
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,0
2022,Drug-related crime,21
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,3
2022,Malicious damage to property,64
2022,Murder,78
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,110
2022,Robbery at non-residential premises,17
