year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,171
2024,Attempted murder,26
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,22
2024,Burglary at residential premises,112
2024,Carjacking,9
2024,Commercial crime,13
2024,Common assault,59
2024,Common robbery,15
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,35
2024,Drug-related crime,16
2024,Illegal possession of firearms and ammunition,26
2024,Kidnapping,6
2024,Malicious damage to property,68
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,8
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,89
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,0
2024,Stock-theft,17
2024,Street Robbery,30
2024,TRIO crimes,29
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,19
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,181
2023,Attempted murder,17
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,52
2023,Burglary at residential premises,212
2023,Carjacking,4
2023,Commercial crime,14
2023,Common assault,52
2023,Common robbery,25
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,20
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,6
2023,Malicious damage to property,90
2023,Murder,34
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,57
2023,Robbery at non-residential premises,6
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,89
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,0
2023,Stock-theft,12
2023,Street Robbery,63
2023,TRIO crimes,26
2023,Theft of motor vehicle and motorcycle,17
2023,Theft out of or from motor vehicle,22
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,157
2022,Attempted murder,24
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,33
2022,Burglary at residential premises,284
2022,Carjacking,9
2022,Commercial crime,13
2022,Common assault,89
2022,Common robbery,16
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,13
2022,Illegal possession of firearms and ammunition,12
2022,Kidnapping,5
2022,Malicious damage to property,80
2022,Murder,38
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,60
2022,Robbery at non-residential premises,19
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,93
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,0
2022,Stock-theft,14
2022,Street Robbery,49
2022,TRIO crimes,44
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,46
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,131
2021,Attempted murder,15
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,65
2021,Burglary at residential premises,226
2021,Carjacking,4
2021,Commercial crime,13
2021,Common assault,77
2021,Common robbery,15
2021,Contact sexual offences,0
2021,Crimen Injuria,14
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,4
2021,Drug-related crime,9
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,4
2021,Malicious damage to property,87
2021,Murder,16
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,54
2021,Robbery at non-residential premises,13
2021,Robbery at residential premises,26
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,104
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,5
2021,Shoplifting,0
2021,Stock-theft,11
2021,Street Robbery,60
2021,TRIO crimes,43
2021,Theft of motor vehicle and motorcycle,15
2021,Theft out of or from motor vehicle,52
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,0
2020,Assault with the intent to inflict grievous bodily harm,131
2020,Attempted murder,10
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,39
2020,Burglary at residential premises,272
2020,Carjacking,2
2020,Commercial crime,3
2020,Common assault,69
2020,Common robbery,17
2020,Contact sexual offences,1
2020,Crimen Injuria,13
2020,Culpable homicide,14
2020,Driving under the influence of alcohol or drugs,8
2020,Drug-related crime,20
2020,Illegal possession of firearms and ammunition,5
