year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,332
2024,Attempted murder,23
2024,Attempted sexual offences,17
2024,Bank robbery,0
2024,Burglary at non-residential premises,69
2024,Burglary at residential premises,216
2024,Carjacking,8
2024,Commercial crime,101
2024,Common assault,43
2024,Common robbery,25
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,68
2024,Drug-related crime,103
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,9
2024,Malicious damage to property,131
2024,Murder,35
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,63
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,104
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,18
2024,Stock-theft,87
2024,Street Robbery,56
2024,TRIO crimes,56
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,44
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,285
2023,Attempted murder,19
2023,Attempted sexual offences,9
2023,Bank robbery,0
2023,Burglary at non-residential premises,86
2023,Burglary at residential premises,245
2023,Carjacking,3
2023,Commercial crime,73
2023,Common assault,51
2023,Common robbery,26
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,9
2023,Drug-related crime,89
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,4
2023,Malicious damage to property,120
2023,Murder,34
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,37
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,102
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,16
2023,Stock-theft,73
2023,Street Robbery,59
2023,TRIO crimes,42
2023,Theft of motor vehicle and motorcycle,17
2023,Theft out of or from motor vehicle,45
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,282
2022,Attempted murder,11
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,63
2022,Burglary at residential premises,187
2022,Carjacking,2
2022,Commercial crime,114
2022,Common assault,60
2022,Common robbery,29
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,42
2022,Drug-related crime,93
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,4
2022,Malicious damage to property,87
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,41
2022,Robbery at non-residential premises,17
2022,Robbery at residential premises,13
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,70
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,3
2022,Shoplifting,20
2022,Stock-theft,70
2022,Street Robbery,38
2022,TRIO crimes,32
2022,Theft of motor vehicle and motorcycle,18
2022,Theft out of or from motor vehicle,40
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,191
2021,Attempted murder,10
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,63
2021,Burglary at residential premises,194
2021,Carjacking,5
2021,Commercial crime,86
2021,Common assault,36
2021,Common robbery,15
2021,Contact sexual offences,0
2021,Crimen Injuria,11
2021,Culpable homicide,6
2021,Driving under the influence of alcohol or drugs,15
2021,Drug-related crime,162
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,2
2021,Malicious damage to property,80
2021,Murder,12
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,34
2021,Robbery at non-residential premises,15
2021,Robbery at residential premises,17
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,77
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,4
2021,Shoplifting,9
2021,Stock-theft,70
2021,Street Robbery,39
2021,TRIO crimes,37
2021,Theft of motor vehicle and motorcycle,5
2021,Theft out of or from motor vehicle,36
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,309
2020,Attempted murder,13
2020,Attempted sexual offences,11
2020,Bank robbery,0
2020,Burglary at non-residential premises,56
2020,Burglary at residential premises,220
2020,Carjacking,3
2020,Commercial crime,92
2020,Common assault,27
2020,Common robbery,23
2020,Contact sexual offences,0
2020,Crimen Injuria,16
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,37
2020,Drug-related crime,128
2020,Illegal possession of firearms and ammunition,9
2020,Kidnapping,4
2020,Malicious damage to property,101
2020,Murder,25
2020,Neglect and ill-treatment of children,2
2020,Public violence,3
2020,Rape,45
2020,Robbery at non-residential premises,32
2020,Robbery at residential premises,28
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,156
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,4
2020,Shoplifting,38
2020,Stock-theft,123
2020,Street Robbery,93
2020,TRIO crimes,63
2020,Theft of motor vehicle and motorcycle,11
2020,Theft out of or from motor vehicle,28
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,265
2019,Attempted murder,14
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,75
2019,Burglary at residential premises,250
2019,Carjacking,4
2019,Commercial crime,71
2019,Common assault,30
2019,Common robbery,28
2019,Contact sexual offences,0
2019,Crimen Injuria,10
2019,Culpable homicide,16
2019,Driving under the influence of alcohol or drugs,21
2019,Drug-related crime,102
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,2
2019,Malicious damage to property,111
2019,Murder,25
2019,Neglect and ill-treatment of children,3
2019,Public violence,2
2019,Rape,49
2019,Robbery at non-residential premises,15
2019,Robbery at residential premises,20
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,121
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,13
2019,Shoplifting,37
2019,Stock-theft,104
2019,Street Robbery,81
2019,TRIO crimes,39
2019,Theft of motor vehicle and motorcycle,16
2019,Theft out of or from motor vehicle,24
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,2
2018,Assault with the intent to inflict grievous bodily harm,270
2018,Attempted murder,10
2018,Attempted sexual offences,7
2018,Bank robbery,0
2018,Burglary at non-residential premises,67
2018,Burglary at residential premises,263
2018,Carjacking,2
2018,Commercial crime,66
2018,Common assault,22
2018,Common robbery,42
2018,Contact sexual offences,0
2018,Crimen Injuria,13
2018,Culpable homicide,8
2018,Driving under the influence of alcohol or drugs,23
2018,Drug-related crime,119
2018,Illegal possession of firearms and ammunition,5
2018,Kidnapping,3
2018,Malicious damage to property,99
2018,Murder,45
2018,Neglect and ill-treatment of children,2
2018,Public violence,3
2018,Rape,43
2018,Robbery at non-residential premises,32
2018,Robbery at residential premises,25
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,137
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,10
2018,Shoplifting,35
2018,Stock-theft,80
2018,Street Robbery,76
2018,TRIO crimes,59
2018,Theft of motor vehicle and motorcycle,7
2018,Theft out of or from motor vehicle,36
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,280
2017,Attempted murder,3
2017,Attempted sexual offences,5
2017,Bank robbery,0
2017,Burglary at non-residential premises,59
2017,Burglary at residential premises,327
