year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,307
2024,Attempted murder,8
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,46
2024,Burglary at residential premises,205
2024,Carjacking,2
2024,Commercial crime,50
2024,Common assault,109
2024,Common robbery,34
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,54
2024,Drug-related crime,17
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,5
2024,Malicious damage to property,107
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,33
2024,Robbery at non-residential premises,6
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,57
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,5
2024,Shoplifting,10
2024,Stock-theft,29
2024,Street Robbery,15
2024,TRIO crimes,15
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,47
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,267
2023,Attempted murder,10
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,176
2023,Carjacking,2
2023,Commercial crime,45
2023,Common assault,112
2023,Common robbery,24
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,17
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,5
2023,Malicious damage to property,113
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,42
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,64
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,17
2023,Stock-theft,25
2023,Street Robbery,40
2023,TRIO crimes,24
2023,Theft of motor vehicle and motorcycle,8
2023,Theft out of or from motor vehicle,61
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,311
2022,Attempted murder,15
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,74
2022,Burglary at residential premises,149
2022,Carjacking,3
2022,Commercial crime,44
2022,Common assault,87
2022,Common robbery,24
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,20
2022,Drug-related crime,25
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,5
2022,Malicious damage to property,142
2022,Murder,12
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,26
2022,Robbery at non-residential premises,7
