year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,177
2024,Attempted murder,20
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,172
2024,Burglary at residential premises,781
2024,Carjacking,13
2024,Commercial crime,495
2024,Common assault,343
2024,Common robbery,84
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,107
2024,Drug-related crime,149
2024,Illegal possession of firearms and ammunition,9
2024,Kidnapping,11
2024,Malicious damage to property,275
2024,Murder,17
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,52
2024,Robbery at non-residential premises,59
2024,Robbery at residential premises,22
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,202
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,193
2024,Stock-theft,3
2024,Street Robbery,96
2024,TRIO crimes,94
2024,Theft of motor vehicle and motorcycle,42
2024,Theft out of or from motor vehicle,485
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,201
2023,Attempted murder,21
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,172
2023,Burglary at residential premises,715
2023,Carjacking,18
2023,Commercial crime,537
2023,Common assault,325
2023,Common robbery,96
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,112
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,8
2023,Malicious damage to property,257
2023,Murder,19
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,51
2023,Robbery at non-residential premises,46
2023,Robbery at residential premises,33
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,245
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,193
2023,Stock-theft,7
2023,Street Robbery,146
2023,TRIO crimes,97
2023,Theft of motor vehicle and motorcycle,51
2023,Theft out of or from motor vehicle,560
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,161
2022,Attempted murder,18
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,184
2022,Burglary at residential premises,745
2022,Carjacking,21
2022,Commercial crime,433
2022,Common assault,271
2022,Common robbery,97
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,67
2022,Drug-related crime,96
2022,Illegal possession of firearms and ammunition,11
2022,Kidnapping,5
2022,Malicious damage to property,270
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,51
2022,Robbery at non-residential premises,59
2022,Robbery at residential premises,40
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,277
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,11
2022,Shoplifting,168
2022,Stock-theft,8
2022,Street Robbery,154
2022,TRIO crimes,120
2022,Theft of motor vehicle and motorcycle,59
2022,Theft out of or from motor vehicle,557
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,142
2021,Attempted murder,3
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,185
2021,Burglary at residential premises,491
2021,Carjacking,12
2021,Commercial crime,417
2021,Common assault,232
2021,Common robbery,92
2021,Contact sexual offences,0
2021,Crimen Injuria,50
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,21
2021,Drug-related crime,88
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,3
2021,Malicious damage to property,213
2021,Murder,10
2021,Neglect and ill-treatment of children,5
2021,Public violence,1
2021,Rape,45
2021,Robbery at non-residential premises,16
2021,Robbery at residential premises,23
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,222
2021,Sexual Offences detected as a result of police action,3
2021,Sexual assault,16
2021,Shoplifting,162
2021,Stock-theft,6
2021,Street Robbery,171
2021,TRIO crimes,51
2021,Theft of motor vehicle and motorcycle,41
2021,Theft out of or from motor vehicle,341
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,172
2020,Attempted murder,16
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,146
2020,Burglary at residential premises,660
2020,Carjacking,17
2020,Commercial crime,437
2020,Common assault,311
2020,Common robbery,127
2020,Contact sexual offences,2
2020,Crimen Injuria,38
2020,Culpable homicide,25
2020,Driving under the influence of alcohol or drugs,232
2020,Drug-related crime,184
2020,Illegal possession of firearms and ammunition,9
