year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,501
2024,Attempted murder,30
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,475
2024,Burglary at residential premises,485
2024,Carjacking,62
2024,Commercial crime,639
2024,Common assault,378
2024,Common robbery,191
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,218
2024,Drug-related crime,216
2024,Illegal possession of firearms and ammunition,58
2024,Kidnapping,33
2024,Malicious damage to property,267
2024,Murder,55
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,131
2024,Robbery at non-residential premises,154
2024,Robbery at residential premises,48
2024,Robbery of cash in transit,3
2024,Robbery with aggravating circumstances,612
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,16
2024,Shoplifting,297
2024,Stock-theft,10
2024,Street Robbery,268
2024,TRIO crimes,264
2024,Theft of motor vehicle and motorcycle,78
2024,Theft out of or from motor vehicle,810
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,500
2023,Attempted murder,30
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,576
2023,Burglary at residential premises,408
2023,Carjacking,70
2023,Commercial crime,553
2023,Common assault,433
2023,Common robbery,168
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,124
2023,Drug-related crime,228
2023,Illegal possession of firearms and ammunition,52
2023,Kidnapping,43
2023,Malicious damage to property,342
2023,Murder,41
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,144
2023,Robbery at non-residential premises,187
2023,Robbery at residential premises,53
2023,Robbery of cash in transit,4
2023,Robbery with aggravating circumstances,615
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,22
2023,Shoplifting,338
2023,Stock-theft,6
2023,Street Robbery,300
2023,TRIO crimes,310
2023,Theft of motor vehicle and motorcycle,85
2023,Theft out of or from motor vehicle,893
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,438
2022,Attempted murder,32
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,331
2022,Burglary at residential premises,452
2022,Carjacking,73
2022,Commercial crime,639
2022,Common assault,342
2022,Common robbery,151
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,115
2022,Drug-related crime,191
2022,Illegal possession of firearms and ammunition,42
2022,Kidnapping,28
2022,Malicious damage to property,293
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,110
2022,Robbery at non-residential premises,165
2022,Robbery at residential premises,28
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,543
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,26
2022,Shoplifting,230
2022,Stock-theft,18
2022,Street Robbery,271
2022,TRIO crimes,266
2022,Theft of motor vehicle and motorcycle,74
2022,Theft out of or from motor vehicle,657
2022,Truck hijacking,4
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,405
2021,Attempted murder,24
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,403
2021,Burglary at residential premises,367
2021,Carjacking,32
2021,Commercial crime,494
2021,Common assault,292
2021,Common robbery,116
2021,Contact sexual offences,2
2021,Crimen Injuria,28
2021,Culpable homicide,17
2021,Driving under the influence of alcohol or drugs,84
2021,Drug-related crime,198
2021,Illegal possession of firearms and ammunition,31
2021,Kidnapping,20
2021,Malicious damage to property,290
2021,Murder,41
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,106
2021,Robbery at non-residential premises,86
2021,Robbery at residential premises,37
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,428
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,24
2021,Shoplifting,262
2021,Stock-theft,26
2021,Street Robbery,269
2021,TRIO crimes,155
2021,Theft of motor vehicle and motorcycle,52
2021,Theft out of or from motor vehicle,527
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,469
2020,Attempted murder,16
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,314
2020,Burglary at residential premises,704
2020,Carjacking,31
2020,Commercial crime,570
2020,Common assault,402
2020,Common robbery,281
2020,Contact sexual offences,1
2020,Crimen Injuria,38
2020,Culpable homicide,18
2020,Driving under the influence of alcohol or drugs,257
2020,Drug-related crime,264
2020,Illegal possession of firearms and ammunition,30
2020,Kidnapping,14
2020,Malicious damage to property,291
2020,Murder,42
2020,Neglect and ill-treatment of children,2
2020,Public violence,4
2020,Rape,124
2020,Robbery at non-residential premises,66
2020,Robbery at residential premises,37
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,505
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,30
2020,Shoplifting,441
2020,Stock-theft,28
2020,Street Robbery,371
2020,TRIO crimes,134
2020,Theft of motor vehicle and motorcycle,105
2020,Theft out of or from motor vehicle,833
2020,Truck hijacking,0
2019,Abduction,2
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,489
2019,Attempted murder,27
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,338
2019,Burglary at residential premises,587
2019,Carjacking,44
2019,Commercial crime,576
2019,Common assault,343
2019,Common robbery,204
2019,Contact sexual offences,3
2019,Crimen Injuria,43
2019,Culpable homicide,21
2019,Driving under the influence of alcohol or drugs,238
2019,Drug-related crime,452
2019,Illegal possession of firearms and ammunition,30
2019,Kidnapping,28
2019,Malicious damage to property,377
2019,Murder,34
2019,Neglect and ill-treatment of children,5
2019,Public violence,4
2019,Rape,139
2019,Robbery at non-residential premises,101
2019,Robbery at residential premises,27
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,566
2019,Sexual Offences detected as a result of police action,2
2019,Sexual assault,24
2019,Shoplifting,372
2019,Stock-theft,26
2019,Street Robbery,392
2019,TRIO crimes,172
2019,Theft of motor vehicle and motorcycle,117
2019,Theft out of or from motor vehicle,949
2019,Truck hijacking,2
2018,Abduction,0
2018,Arson,2
2018,Assault with the intent to inflict grievous bodily harm,365
2018,Attempted murder,16
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,380
2018,Burglary at residential premises,682
2018,Carjacking,36
2018,Commercial crime,499
2018,Common assault,266
2018,Common robbery,185
2018,Contact sexual offences,0
2018,Crimen Injuria,20
2018,Culpable homicide,30
2018,Driving under the influence of alcohol or drugs,240
2018,Drug-related crime,526
2018,Illegal possession of firearms and ammunition,39
2018,Kidnapping,8
2018,Malicious damage to property,335
2018,Murder,42
2018,Neglect and ill-treatment of children,2
2018,Public violence,3
2018,Rape,97
2018,Robbery at non-residential premises,136
2018,Robbery at residential premises,29
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,643
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,19
2018,Shoplifting,381
2018,Stock-theft,32
2018,Street Robbery,441
2018,TRIO crimes,201
2018,Theft of motor vehicle and motorcycle,129
2018,Theft out of or from motor vehicle,887
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,2
2017,Assault with the intent to inflict grievous bodily harm,335
2017,Attempted murder,17
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,310
2017,Burglary at residential premises,580
2017,Carjacking,22
2017,Commercial crime,438
2017,Common assault,173
2017,Common robbery,167
2017,Contact sexual offences,3
2017,Crimen Injuria,23
2017,Culpable homicide,22
2017,Driving under the influence of alcohol or drugs,296
2017,Drug-related crime,502
2017,Illegal possession of firearms and ammunition,51
2017,Kidnapping,7
