year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,464
2024,Attempted murder,22
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,306
2024,Carjacking,8
2024,Commercial crime,98
2024,Common assault,394
2024,Common robbery,36
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,83
2024,Drug-related crime,480
2024,Illegal possession of firearms and ammunition,27
2024,Kidnapping,21
2024,Malicious damage to property,224
2024,Murder,39
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,91
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,122
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,59
2024,Stock-theft,5
2024,Street Robbery,48
2024,TRIO crimes,48
2024,Theft of motor vehicle and motorcycle,12
2024,Theft out of or from motor vehicle,139
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,480
2023,Attempted murder,24
2023,Attempted sexual offences,14
2023,Bank robbery,0
2023,Burglary at non-residential premises,67
2023,Burglary at residential premises,333
2023,Carjacking,21
2023,Commercial crime,123
2023,Common assault,462
2023,Common robbery,59
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,57
2023,Drug-related crime,332
2023,Illegal possession of firearms and ammunition,42
2023,Kidnapping,31
2023,Malicious damage to property,239
2023,Murder,63
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,84
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,141
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,47
2023,Stock-theft,3
2023,Street Robbery,87
2023,TRIO crimes,52
2023,Theft of motor vehicle and motorcycle,26
2023,Theft out of or from motor vehicle,106
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,16
2022,Assault with the intent to inflict grievous bodily harm,478
2022,Attempted murder,17
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,78
2022,Burglary at residential premises,294
2022,Carjacking,22
2022,Commercial crime,122
2022,Common assault,491
2022,Common robbery,55
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,51
2022,Drug-related crime,212
2022,Illegal possession of firearms and ammunition,34
2022,Kidnapping,21
2022,Malicious damage to property,282
2022,Murder,44
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,109
2022,Robbery at non-residential premises,36
2022,Robbery at residential premises,18
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,171
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,29
2022,Stock-theft,4
2022,Street Robbery,95
2022,TRIO crimes,76
2022,Theft of motor vehicle and motorcycle,20
2022,Theft out of or from motor vehicle,109
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,354
2021,Attempted murder,14
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,174
2021,Burglary at residential premises,313
2021,Carjacking,19
2021,Commercial crime,102
2021,Common assault,355
2021,Common robbery,80
2021,Contact sexual offences,3
2021,Crimen Injuria,47
2021,Culpable homicide,11
2021,Driving under the influence of alcohol or drugs,24
2021,Drug-related crime,197
2021,Illegal possession of firearms and ammunition,26
2021,Kidnapping,9
2021,Malicious damage to property,248
2021,Murder,36
2021,Neglect and ill-treatment of children,1
2021,Public violence,2
2021,Rape,80
2021,Robbery at non-residential premises,23
2021,Robbery at residential premises,20
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,200
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,18
2021,Shoplifting,34
2021,Stock-theft,1
2021,Street Robbery,138
2021,TRIO crimes,62
2021,Theft of motor vehicle and motorcycle,23
2021,Theft out of or from motor vehicle,152
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,429
2020,Attempted murder,28
2020,Attempted sexual offences,12
2020,Bank robbery,0
2020,Burglary at non-residential premises,105
2020,Burglary at residential premises,376
2020,Carjacking,15
2020,Commercial crime,100
2020,Common assault,454
2020,Common robbery,92
2020,Contact sexual offences,3
2020,Crimen Injuria,56
2020,Culpable homicide,7
2020,Driving under the influence of alcohol or drugs,141
2020,Drug-related crime,283
2020,Illegal possession of firearms and ammunition,26
2020,Kidnapping,14
2020,Malicious damage to property,237
2020,Murder,20
2020,Neglect and ill-treatment of children,3
2020,Public violence,1
2020,Rape,123
2020,Robbery at non-residential premises,17
2020,Robbery at residential premises,29
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,210
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,13
2020,Shoplifting,47
2020,Stock-theft,1
2020,Street Robbery,149
2020,TRIO crimes,61
2020,Theft of motor vehicle and motorcycle,24
2020,Theft out of or from motor vehicle,196
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,17
2019,Assault with the intent to inflict grievous bodily harm,453
2019,Attempted murder,18
2019,Attempted sexual offences,6
2019,Bank robbery,0
2019,Burglary at non-residential premises,101
2019,Burglary at residential premises,393
2019,Carjacking,9
2019,Commercial crime,114
2019,Common assault,348
2019,Common robbery,120
2019,Contact sexual offences,0
2019,Crimen Injuria,163
2019,Culpable homicide,8
2019,Driving under the influence of alcohol or drugs,119
2019,Drug-related crime,229
2019,Illegal possession of firearms and ammunition,36
2019,Kidnapping,4
2019,Malicious damage to property,245
2019,Murder,32
2019,Neglect and ill-treatment of children,5
2019,Public violence,1
2019,Rape,99
2019,Robbery at non-residential premises,25
2019,Robbery at residential premises,26
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,270
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,18
2019,Shoplifting,74
2019,Stock-theft,2
2019,Street Robbery,209
2019,TRIO crimes,60
2019,Theft of motor vehicle and motorcycle,31
2019,Theft out of or from motor vehicle,226
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,7
2018,Assault with the intent to inflict grievous bodily harm,361
2018,Attempted murder,21
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,87
2018,Burglary at residential premises,408
2018,Carjacking,9
2018,Commercial crime,98
2018,Common assault,323
2018,Common robbery,109
2018,Contact sexual offences,1
2018,Crimen Injuria,133
2018,Culpable homicide,18
2018,Driving under the influence of alcohol or drugs,173
2018,Drug-related crime,231
2018,Illegal possession of firearms and ammunition,26
2018,Kidnapping,4
2018,Malicious damage to property,213
2018,Murder,41
2018,Neglect and ill-treatment of children,0
2018,Public violence,1
2018,Rape,96
2018,Robbery at non-residential premises,36
2018,Robbery at residential premises,25
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,241
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,14
2018,Shoplifting,53
2018,Stock-theft,1
2018,Street Robbery,170
2018,TRIO crimes,70
2018,Theft of motor vehicle and motorcycle,21
2018,Theft out of or from motor vehicle,165
2018,Truck hijacking,0
2017,Abduction,2
2017,Arson,10
2017,Assault with the intent to inflict grievous bodily harm,433
2017,Attempted murder,12
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,102
2017,Burglary at residential premises,466
2017,Carjacking,6
2017,Commercial crime,83
2017,Common assault,344
2017,Common robbery,99
2017,Contact sexual offences,2
2017,Crimen Injuria,121
2017,Culpable homicide,21
2017,Driving under the influence of alcohol or drugs,188
2017,Drug-related crime,227
2017,Illegal possession of firearms and ammunition,57
2017,Kidnapping,12
