year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,287
2024,Attempted murder,18
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,23
2024,Burglary at residential premises,144
2024,Carjacking,15
2024,Commercial crime,35
2024,Common assault,112
2024,Common robbery,20
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,18
2024,Drug-related crime,24
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,11
2024,Malicious damage to property,101
2024,Murder,26
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,60
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,93
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,4
2024,Stock-theft,3
2024,Street Robbery,34
2024,TRIO crimes,34
2024,Theft of motor vehicle and motorcycle,12
2024,Theft out of or from motor vehicle,51
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,301
2023,Attempted murder,15
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,52
2023,Burglary at residential premises,208
2023,Carjacking,15
2023,Commercial crime,37
2023,Common assault,110
2023,Common robbery,28
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,5
2023,Drug-related crime,30
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,5
2023,Malicious damage to property,142
2023,Murder,34
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,56
2023,Robbery at non-residential premises,10
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,96
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,3
2023,Stock-theft,4
2023,Street Robbery,63
2023,TRIO crimes,33
2023,Theft of motor vehicle and motorcycle,23
2023,Theft out of or from motor vehicle,83
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,298
2022,Attempted murder,7
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,39
2022,Burglary at residential premises,209
2022,Carjacking,12
2022,Commercial crime,33
2022,Common assault,67
2022,Common robbery,13
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,15
2022,Drug-related crime,36
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,4
2022,Malicious damage to property,146
2022,Murder,18
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,53
2022,Robbery at non-residential premises,24
2022,Robbery at residential premises,6
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,98
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,14
2022,Shoplifting,10
2022,Stock-theft,2
2022,Street Robbery,54
2022,TRIO crimes,42
2022,Theft of motor vehicle and motorcycle,18
2022,Theft out of or from motor vehicle,61
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,236
2021,Attempted murder,8
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,55
2021,Burglary at residential premises,176
2021,Carjacking,6
2021,Commercial crime,44
2021,Common assault,62
2021,Common robbery,16
2021,Contact sexual offences,0
2021,Crimen Injuria,3
2021,Culpable homicide,10
2021,Driving under the influence of alcohol or drugs,31
2021,Drug-related crime,26
2021,Illegal possession of firearms and ammunition,6
2021,Kidnapping,6
2021,Malicious damage to property,126
2021,Murder,22
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,60
2021,Robbery at non-residential premises,17
2021,Robbery at residential premises,16
