year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,311
2024,Attempted murder,5
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,121
2024,Burglary at residential premises,294
2024,Carjacking,0
2024,Commercial crime,88
2024,Common assault,337
2024,Common robbery,43
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,8
2024,Drug-related crime,178
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,5
2024,Malicious damage to property,176
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,2
2024,Robbery at residential premises,3
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,38
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,84
2024,Stock-theft,35
2024,Street Robbery,5
2024,TRIO crimes,5
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,121
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,310
2023,Attempted murder,15
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,201
2023,Burglary at residential premises,301
2023,Carjacking,0
2023,Commercial crime,78
2023,Common assault,304
2023,Common robbery,42
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,67
2023,Drug-related crime,185
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,5
2023,Malicious damage to property,241
2023,Murder,25
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,30
2023,Robbery at non-residential premises,5
2023,Robbery at residential premises,3
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,67
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,85
2023,Stock-theft,29
2023,Street Robbery,58
2023,TRIO crimes,8
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,145
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,275
2022,Attempted murder,13
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,129
2022,Burglary at residential premises,324
2022,Carjacking,0
2022,Commercial crime,79
2022,Common assault,231
2022,Common robbery,42
2022,Contact sexual offences,1
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,18
2022,Drug-related crime,139
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,4
2022,Malicious damage to property,183
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,37
2022,Robbery at non-residential premises,6
2022,Robbery at residential premises,7
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,72
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,6
2022,Shoplifting,49
2022,Stock-theft,41
2022,Street Robbery,59
2022,TRIO crimes,13
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,99
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,231
2021,Attempted murder,9
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,118
2021,Burglary at residential premises,268
2021,Carjacking,0
2021,Commercial crime,69
2021,Common assault,209
2021,Common robbery,35
2021,Contact sexual offences,2
2021,Crimen Injuria,43
2021,Culpable homicide,11
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,169
2021,Illegal possession of firearms and ammunition,4
2021,Kidnapping,6
2021,Malicious damage to property,154
2021,Murder,7
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,29
2021,Robbery at non-residential premises,1
2021,Robbery at residential premises,6
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,46
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,8
2021,Shoplifting,39
2021,Stock-theft,46
2021,Street Robbery,39
2021,TRIO crimes,7
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,160
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,270
2020,Attempted murder,9
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,160
2020,Burglary at residential premises,271
2020,Carjacking,1
2020,Commercial crime,70
2020,Common assault,261
2020,Common robbery,33
2020,Contact sexual offences,1
2020,Crimen Injuria,43
2020,Culpable homicide,16
2020,Driving under the influence of alcohol or drugs,13
2020,Drug-related crime,158
2020,Illegal possession of firearms and ammunition,4
