year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,156
2024,Attempted murder,4
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,89
2024,Burglary at residential premises,288
2024,Carjacking,0
2024,Commercial crime,260
2024,Common assault,274
2024,Common robbery,52
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,28
2024,Drug-related crime,83
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,3
2024,Malicious damage to property,89
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,39
2024,Robbery at non-residential premises,3
2024,Robbery at residential premises,9
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,80
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,72
2024,Stock-theft,12
2024,Street Robbery,12
2024,TRIO crimes,12
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,170
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,147
2023,Attempted murder,12
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,96
2023,Burglary at residential premises,276
2023,Carjacking,1
2023,Commercial crime,222
2023,Common assault,338
2023,Common robbery,60
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,18
2023,Drug-related crime,99
2023,Illegal possession of firearms and ammunition,0
2023,Kidnapping,4
2023,Malicious damage to property,122
2023,Murder,15
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,33
2023,Robbery at non-residential premises,9
2023,Robbery at residential premises,10
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,74
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,84
2023,Stock-theft,14
2023,Street Robbery,54
2023,TRIO crimes,20
2023,Theft of motor vehicle and motorcycle,8
2023,Theft out of or from motor vehicle,171
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,147
2022,Attempted murder,3
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,61
2022,Burglary at residential premises,227
2022,Carjacking,3
2022,Commercial crime,199
2022,Common assault,275
2022,Common robbery,46
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,14
2022,Drug-related crime,79
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,10
2022,Malicious damage to property,129
2022,Murder,9
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,50
2022,Robbery at non-residential premises,9
2022,Robbery at residential premises,10
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,78
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,11
2022,Shoplifting,79
2022,Stock-theft,13
2022,Street Robbery,54
2022,TRIO crimes,22
2022,Theft of motor vehicle and motorcycle,10
2022,Theft out of or from motor vehicle,183
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,0
2021,Assault with the intent to inflict grievous bodily harm,174
2021,Attempted murder,2
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,108
2021,Burglary at residential premises,314
2021,Carjacking,0
2021,Commercial crime,146
2021,Common assault,255
2021,Common robbery,51
2021,Contact sexual offences,1
2021,Crimen Injuria,36
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,13
2021,Drug-related crime,100
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,9
2021,Malicious damage to property,119
2021,Murder,15
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,46
2021,Robbery at non-residential premises,9
2021,Robbery at residential premises,23
