year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,42
2024,Attempted murder,18
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,135
2024,Burglary at residential premises,138
2024,Carjacking,9
2024,Commercial crime,230
2024,Common assault,120
2024,Common robbery,44
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,177
2024,Drug-related crime,451
2024,Illegal possession of firearms and ammunition,12
2024,Kidnapping,7
2024,Malicious damage to property,160
2024,Murder,19
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,31
2024,Robbery at residential premises,34
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,194
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,186
2024,Stock-theft,25
2024,Street Robbery,84
2024,TRIO crimes,74
2024,Theft of motor vehicle and motorcycle,44
2024,Theft out of or from motor vehicle,121
2024,Truck hijacking,10
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,36
2023,Attempted murder,18
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,150
2023,Burglary at residential premises,163
2023,Carjacking,16
2023,Commercial crime,340
2023,Common assault,101
2023,Common robbery,40
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,128
2023,Drug-related crime,396
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,2
2023,Malicious damage to property,184
2023,Murder,28
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,12
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,20
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,151
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,173
2023,Stock-theft,26
2023,Street Robbery,82
2023,TRIO crimes,64
2023,Theft of motor vehicle and motorcycle,49
2023,Theft out of or from motor vehicle,136
