year,category,value
2024,Abduction,0
2024,Arson,9
2024,Assault with the intent to inflict grievous bodily harm,210
2024,Attempted murder,17
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,59
2024,Burglary at residential premises,39
2024,Carjacking,8
2024,Commercial crime,64
2024,Common assault,58
2024,Common robbery,10
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,23
2024,Drug-related crime,51
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,0
2024,Malicious damage to property,71
2024,Murder,64
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,81
2024,Robbery at non-residential premises,16
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,57
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,4
2024,Shoplifting,6
2024,Stock-theft,57
2024,Street Robbery,37
2024,TRIO crimes,37
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,16
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,222
2023,Attempted murder,30
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,67
2023,Burglary at residential premises,44
2023,Carjacking,13
2023,Commercial crime,35
2023,Common assault,67
2023,Common robbery,10
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,22
2023,Drug-related crime,51
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,11
2023,Malicious damage to property,88
2023,Murder,90
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,71
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,80
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,1
2023,Shoplifting,1
2023,Stock-theft,73
2023,Street Robbery,22
2023,TRIO crimes,58
2023,Theft of motor vehicle and motorcycle,2
2023,Theft out of or from motor vehicle,26
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,190
2022,Attempted murder,17
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,47
2022,Burglary at residential premises,64
2022,Carjacking,5
2022,Commercial crime,57
2022,Common assault,50
2022,Common robbery,7
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,11
2022,Drug-related crime,42
2022,Illegal possession of firearms and ammunition,14
2022,Kidnapping,4
2022,Malicious damage to property,85
2022,Murder,78
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,79
2022,Robbery at non-residential premises,27
2022,Robbery at residential premises,13
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,69
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,2
2022,Shoplifting,12
2022,Stock-theft,58
2022,Street Robbery,23
2022,TRIO crimes,45
2022,Theft of motor vehicle and motorcycle,12
2022,Theft out of or from motor vehicle,27
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,203
2021,Attempted murder,18
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,68
2021,Burglary at residential premises,87
2021,Carjacking,8
2021,Commercial crime,72
2021,Common assault,40
2021,Common robbery,16
2021,Contact sexual offences,1
2021,Crimen Injuria,5
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,9
2021,Drug-related crime,34
2021,Illegal possession of firearms and ammunition,12
2021,Kidnapping,3
2021,Malicious damage to property,69
2021,Murder,91
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,57
2021,Robbery at non-residential premises,31
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,80
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,7
2021,Shoplifting,33
2021,Stock-theft,50
2021,Street Robbery,26
2021,TRIO crimes,53
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,29
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,242
2020,Attempted murder,12
2020,Attempted sexual offences,8
2020,Bank robbery,0
2020,Burglary at non-residential premises,91
2020,Burglary at residential premises,104
2020,Carjacking,5
2020,Commercial crime,68
2020,Common assault,49
2020,Common robbery,13
2020,Contact sexual offences,0
2020,Crimen Injuria,11
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,22
2020,Drug-related crime,26
2020,Illegal possession of firearms and ammunition,12
2020,Kidnapping,1
2020,Malicious damage to property,80
2020,Murder,63
2020,Neglect and ill-treatment of children,0
2020,Public violence,0
2020,Rape,84
2020,Robbery at non-residential premises,16
2020,Robbery at residential premises,22
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,75
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,2
2020,Shoplifting,25
2020,Stock-theft,49
2020,Street Robbery,32
2020,TRIO crimes,43
2020,Theft of motor vehicle and motorcycle,12
2020,Theft out of or from motor vehicle,37
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,1
2019,Assault with the intent to inflict grievous bodily harm,203
2019,Attempted murder,9
2019,Attempted sexual offences,10
2019,Bank robbery,0
2019,Burglary at non-residential premises,66
2019,Burglary at residential premises,114
2019,Carjacking,2
2019,Commercial crime,60
2019,Common assault,36
2019,Common robbery,13
2019,Contact sexual offences,0
2019,Crimen Injuria,10
2019,Culpable homicide,15
2019,Driving under the influence of alcohol or drugs,3
2019,Drug-related crime,47
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,2
2019,Malicious damage to property,71
2019,Murder,80
2019,Neglect and ill-treatment of children,1
2019,Public violence,1
2019,Rape,77
2019,Robbery at non-residential premises,22
2019,Robbery at residential premises,11
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,56
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,5
2019,Shoplifting,8
2019,Stock-theft,40
2019,Street Robbery,17
2019,TRIO crimes,35
2019,Theft of motor vehicle and motorcycle,10
2019,Theft out of or from motor vehicle,19
2019,Truck hijacking,3
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,229
2018,Attempted murder,8
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,62
2018,Burglary at residential premises,130
2018,Carjacking,2
2018,Commercial crime,47
2018,Common assault,47
2018,Common robbery,6
2018,Contact sexual offences,1
2018,Crimen Injuria,11
2018,Culpable homicide,12
2018,Driving under the influence of alcohol or drugs,10
2018,Drug-related crime,79
2018,Illegal possession of firearms and ammunition,24
2018,Kidnapping,4
2018,Malicious damage to property,57
2018,Murder,80
2018,Neglect and ill-treatment of children,0
2018,Public violence,0
2018,Rape,64
2018,Robbery at non-residential premises,18
2018,Robbery at residential premises,13
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,51
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,5
2018,Shoplifting,13
2018,Stock-theft,40
2018,Street Robbery,17
2018,TRIO crimes,33
2018,Theft of motor vehicle and motorcycle,8
2018,Theft out of or from motor vehicle,21
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,3
2017,Assault with the intent to inflict grievous bodily harm,194
2017,Attempted murder,7
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,66
2017,Burglary at residential premises,129
2017,Carjacking,4
2017,Commercial crime,28
2017,Common assault,40
2017,Common robbery,10
2017,Contact sexual offences,4
2017,Crimen Injuria,2
2017,Culpable homicide,10
2017,Driving under the influence of alcohol or drugs,10
2017,Drug-related crime,78
2017,Illegal possession of firearms and ammunition,13
2017,Kidnapping,2
2017,Malicious damage to property,51
2017,Murder,55
2017,Neglect and ill-treatment of children,0
2017,Public violence,0
2017,Rape,54
2017,Robbery at non-residential premises,17
2017,Robbery at residential premises,14
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,48
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,2
2017,Shoplifting,9
2017,Stock-theft,55
2017,Street Robbery,13
2017,TRIO crimes,35
2017,Theft of motor vehicle and motorcycle,6
2017,Theft out of or from motor vehicle,24
2017,Truck hijacking,0
2016,Arson,6
2016,Assault with the intent to inflict grievous bodily harm,216
2016,Attempted murder,7
2016,Attempted sexual offences,2
2016,Bank robbery,0
2016,Burglary at non-residential premises,67
2016,Burglary at residential premises,107
2016,Carjacking,1
2016,Commercial crime,50
2016,Common assault,17
2016,Common robbery,4
2016,Contact sexual offences,0
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,16
2016,Drug-related crime,61
2016,Illegal possession of firearms and ammunition,10
2016,Kidnapping,1
2016,Malicious damage to property,43
2016,Murder,63
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,90
2016,Robbery at non-residential premises,16
2016,Robbery at residential premises,11
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,43
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,0
2016,Shoplifting,10
2016,Stock-theft,45
2016,Street Robbery,13
2016,TRIO crimes,28
2016,Theft of motor vehicle and motorcycle,3
2016,Theft out of or from motor vehicle,24
2016,Truck hijacking,2
2015,Arson,13
2015,Assault with the intent to inflict grievous bodily harm,198
2015,Attempted murder,9
2015,Attempted sexual offences,7
2015,Bank robbery,0
2015,Burglary at non-residential premises,72
2015,Burglary at residential premises,102
2015,Carjacking,5
2015,Commercial crime,57
2015,Common assault,19
2015,Common robbery,6
2015,Contact sexual offences,1
2015,Crimen Injuria,1
2015,Culpable homicide,8
2015,Driving under the influence of alcohol or drugs,6
2015,Drug-related crime,70
2015,Illegal possession of firearms and ammunition,14
2015,Kidnapping,2
2015,Malicious damage to property,62
2015,Murder,74
2015,Neglect and ill-treatment of children,0
2015,Public violence,0
2015,Rape,100
2015,Robbery at non-residential premises,29
2015,Robbery at residential premises,28
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,103
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,2
2015,Shoplifting,4
2015,Stock-theft,66
2015,Street Robbery,40
2015,TRIO crimes,62
2015,Theft of motor vehicle and motorcycle,11
2015,Theft out of or from motor vehicle,36
2015,Truck hijacking,1
2014,Arson,9
2014,Assault with the intent to inflict grievous bodily harm,229
2014,Attempted murder,5
2014,Attempted sexual offences,6
2014,Bank robbery,0
2014,Burglary at non-residential premises,56
2014,Burglary at residential premises,126
2014,Carjacking,1
2014,Commercial crime,107
2014,Common assault,29
2014,Common robbery,8
2014,Contact sexual offences,1
2014,Crimen Injuria,7
2014,Culpable homicide,8
2014,Driving under the influence of alcohol or drugs,8
2014,Drug-related crime,61
2014,Illegal possession of firearms and ammunition,11
2014,Kidnapping,2
2014,Malicious damage to property,55
2014,Murder,71
2014,Neglect and ill-treatment of children,0
2014,Public violence,0
2014,Rape,83
2014,Robbery at non-residential premises,31
2014,Robbery at residential premises,10
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,75
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,5
2014,Shoplifting,13
2014,Stock-theft,63
2014,Street Robbery,33
2014,TRIO crimes,42
2014,Theft of motor vehicle and motorcycle,14
2014,Theft out of or from motor vehicle,21
2014,Truck hijacking,0
2013,Arson,9
2013,Assault with the intent to inflict grievous bodily harm,252
2013,Attempted murder,7
2013,Attempted sexual offences,8
2013,Bank robbery,0
2013,Burglary at non-residential premises,33
2013,Burglary at residential premises,171
2013,Carjacking,2
2013,Commercial crime,124
2013,Common assault,71
2013,Common robbery,32
2013,Contact sexual offences,1
2013,Crimen Injuria,12
2013,Culpable homicide,14
2013,Driving under the influence of alcohol or drugs,14
2013,Drug-related crime,31
2013,Illegal possession of firearms and ammunition,22
2013,Kidnapping,5
2013,Malicious damage to property,66
2013,Murder,53
2013,Neglect and ill-treatment of children,0
2013,Public violence,0
2013,Rape,84
2013,Robbery at non-residential premises,24
2013,Robbery at residential premises,14
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,63
2013,Sexual Offences detected as a result of police action,1
2013,Sexual assault,2
2013,Shoplifting,15
2013,Stock-theft,107
2013,Street Robbery,23
2013,TRIO crimes,40
2013,Theft of motor vehicle and motorcycle,14
2013,Theft out of or from motor vehicle,13
2013,Truck hijacking,0
2012,Arson,7
