year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,141
2024,Attempted murder,5
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at residential premises,109
2024,Carjacking,2
2024,Commercial crime,23
2024,Common assault,78
2024,Common robbery,14
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,30
2024,Drug-related crime,35
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,2
2024,Malicious damage to property,56
2024,Murder,35
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,37
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,40
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,1
2024,Shoplifting,7
2024,Stock-theft,83
2024,Street Robbery,21
2024,TRIO crimes,19
2024,Theft of motor vehicle and motorcycle,3
2024,Theft out of or from motor vehicle,15
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,108
2023,Attempted murder,8
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,33
2023,Burglary at residential premises,91
2023,Carjacking,9
2023,Commercial crime,13
2023,Common assault,65
2023,Common robbery,10
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,33
2023,Drug-related crime,37
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,3
2023,Malicious damage to property,44
2023,Murder,24
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,28
2023,Robbery at non-residential premises,5
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,42
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,5
2023,Stock-theft,112
2023,Street Robbery,14
2023,TRIO crimes,26
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,20
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,127
2022,Attempted murder,12
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,24
2022,Burglary at residential premises,129
2022,Carjacking,1
2022,Commercial crime,8
2022,Common assault,54
2022,Common robbery,9
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,22
2022,Drug-related crime,36
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,1
2022,Malicious damage to property,39
2022,Murder,25
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,32
2022,Robbery at non-residential premises,5
2022,Robbery at residential premises,10
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,30
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,5
2022,Shoplifting,13
2022,Stock-theft,87
2022,Street Robbery,14
2022,TRIO crimes,16
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,12
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,119
2021,Attempted murder,14
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,22
2021,Burglary at residential premises,102
2021,Carjacking,2
2021,Commercial crime,9
2021,Common assault,38
2021,Common robbery,9
2021,Contact sexual offences,0
2021,Crimen Injuria,2
2021,Culpable homicide,6
2021,Driving under the influence of alcohol or drugs,13
2021,Drug-related crime,34
2021,Illegal possession of firearms and ammunition,4
2021,Kidnapping,2
2021,Malicious damage to property,30
2021,Murder,17
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,39
2021,Robbery at non-residential premises,7
2021,Robbery at residential premises,4
