year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,221
2024,Attempted murder,80
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,64
2024,Burglary at residential premises,198
2024,Carjacking,21
2024,Commercial crime,116
2024,Common assault,540
2024,Common robbery,34
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,49
2024,Drug-related crime,181
2024,Illegal possession of firearms and ammunition,79
2024,Kidnapping,6
2024,Malicious damage to property,365
2024,Murder,99
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,47
2024,Robbery at non-residential premises,6
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,141
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,15
2024,Stock-theft,6
2024,Street Robbery,52
2024,TRIO crimes,51
2024,Theft of motor vehicle and motorcycle,9
2024,Theft out of or from motor vehicle,59
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,15
2023,Assault with the intent to inflict grievous bodily harm,350
2023,Attempted murder,120
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,117
2023,Burglary at residential premises,286
2023,Carjacking,37
2023,Commercial crime,115
2023,Common assault,480
2023,Common robbery,54
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,44
2023,Drug-related crime,267
2023,Illegal possession of firearms and ammunition,105
2023,Kidnapping,5
2023,Malicious damage to property,405
2023,Murder,154
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,90
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,29
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,194
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,27
2023,Shoplifting,44
2023,Stock-theft,9
2023,Street Robbery,101
2023,TRIO crimes,89
2023,Theft of motor vehicle and motorcycle,17
2023,Theft out of or from motor vehicle,95
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,13
2022,Assault with the intent to inflict grievous bodily harm,274
2022,Attempted murder,95
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,83
2022,Burglary at residential premises,252
2022,Carjacking,27
2022,Commercial crime,93
2022,Common assault,521
2022,Common robbery,66
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,267
2022,Illegal possession of firearms and ammunition,54
2022,Kidnapping,3
2022,Malicious damage to property,456
2022,Murder,89
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,96
2022,Robbery at non-residential premises,15
2022,Robbery at residential premises,29
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,188
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,29
2022,Shoplifting,6
2022,Stock-theft,9
2022,Street Robbery,109
2022,TRIO crimes,71
2022,Theft of motor vehicle and motorcycle,18
2022,Theft out of or from motor vehicle,107
2022,Truck hijacking,8
2021,Abduction,0
2021,Arson,15
2021,Assault with the intent to inflict grievous bodily harm,295
2021,Attempted murder,221
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,79
2021,Burglary at residential premises,241
2021,Carjacking,21
2021,Commercial crime,62
2021,Common assault,403
2021,Common robbery,77
2021,Contact sexual offences,3
2021,Crimen Injuria,24
2021,Culpable homicide,13
2021,Driving under the influence of alcohol or drugs,22
2021,Drug-related crime,376
2021,Illegal possession of firearms and ammunition,84
2021,Kidnapping,3
2021,Malicious damage to property,475
2021,Murder,151
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,112
2021,Robbery at non-residential premises,20
2021,Robbery at residential premises,49
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,252
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,29
2021,Shoplifting,10
2021,Stock-theft,10
2021,Street Robbery,161
2021,TRIO crimes,90
2021,Theft of motor vehicle and motorcycle,22
2021,Theft out of or from motor vehicle,156
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,22
2020,Assault with the intent to inflict grievous bodily harm,378
2020,Attempted murder,246
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,80
2020,Burglary at residential premises,381
2020,Carjacking,30
2020,Commercial crime,47
2020,Common assault,412
2020,Common robbery,107
2020,Contact sexual offences,13
2020,Crimen Injuria,16
2020,Culpable homicide,8
2020,Driving under the influence of alcohol or drugs,21
2020,Drug-related crime,477
2020,Illegal possession of firearms and ammunition,84
2020,Kidnapping,6
2020,Malicious damage to property,606
2020,Murder,152
2020,Neglect and ill-treatment of children,5
2020,Public violence,5
2020,Rape,110
2020,Robbery at non-residential premises,14
2020,Robbery at residential premises,73
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,363
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,39
2020,Shoplifting,9
2020,Stock-theft,9
2020,Street Robbery,246
2020,TRIO crimes,117
2020,Theft of motor vehicle and motorcycle,39
2020,Theft out of or from motor vehicle,221
2020,Truck hijacking,0
2019,Abduction,6
2019,Arson,28
2019,Assault with the intent to inflict grievous bodily harm,380
2019,Attempted murder,226
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,78
2019,Burglary at residential premises,404
2019,Carjacking,52
2019,Commercial crime,31
2019,Common assault,399
2019,Common robbery,112
2019,Contact sexual offences,7
