year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,65
2024,Attempted murder,13
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,119
2024,Carjacking,8
2024,Commercial crime,120
2024,Common assault,75
2024,Common robbery,5
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,32
2024,Drug-related crime,58
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,8
2024,Malicious damage to property,51
2024,Murder,32
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,28
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,102
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,1
2024,Shoplifting,19
2024,Stock-theft,6
2024,Street Robbery,60
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,20
2024,Theft out of or from motor vehicle,32
2024,Truck hijacking,15
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,48
2023,Attempted murder,14
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,40
2023,Burglary at residential premises,121
2023,Carjacking,13
2023,Commercial crime,81
2023,Common assault,103
2023,Common robbery,6
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,16
2023,Drug-related crime,97
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,6
2023,Malicious damage to property,57
2023,Murder,26
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,28
2023,Robbery at non-residential premises,13
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,73
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,24
2023,Stock-theft,2
2023,Street Robbery,26
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,17
