year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,188
2024,Attempted murder,123
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,74
2024,Burglary at residential premises,111
2024,Carjacking,12
2024,Commercial crime,137
2024,Common assault,223
2024,Common robbery,24
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,62
2024,Drug-related crime,451
2024,Illegal possession of firearms and ammunition,92
2024,Kidnapping,7
2024,Malicious damage to property,254
2024,Murder,72
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,36
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,19
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,124
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,150
2024,Stock-theft,0
2024,Street Robbery,45
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,68
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,185
2023,Attempted murder,113
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,88
2023,Burglary at residential premises,148
2023,Carjacking,13
2023,Commercial crime,127
2023,Common assault,303
2023,Common robbery,37
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,22
2023,Drug-related crime,499
2023,Illegal possession of firearms and ammunition,87
2023,Kidnapping,8
2023,Malicious damage to property,322
2023,Murder,74
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,47
2023,Robbery at non-residential premises,7
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,105
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,18
2023,Shoplifting,85
2023,Stock-theft,0
2023,Street Robbery,71
2023,TRIO crimes,32
2023,Theft of motor vehicle and motorcycle,21
2023,Theft out of or from motor vehicle,90
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,203
2022,Attempted murder,86
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,62
2022,Burglary at residential premises,137
2022,Carjacking,15
2022,Commercial crime,119
2022,Common assault,306
2022,Common robbery,50
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,9
2022,Drug-related crime,187
2022,Illegal possession of firearms and ammunition,47
2022,Kidnapping,3
2022,Malicious damage to property,356
2022,Murder,42
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,42
2022,Robbery at non-residential premises,8
2022,Robbery at residential premises,27
2022,Robbery of cash in transit,3
2022,Robbery with aggravating circumstances,154
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,23
2022,Shoplifting,58
2022,Stock-theft,0
2022,Street Robbery,100
2022,TRIO crimes,50
2022,Theft of motor vehicle and motorcycle,23
2022,Theft out of or from motor vehicle,96
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,203
2021,Attempted murder,107
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,80
2021,Burglary at residential premises,142
2021,Carjacking,14
2021,Commercial crime,67
2021,Common assault,252
2021,Common robbery,72
2021,Contact sexual offences,5
2021,Crimen Injuria,20
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,9
2021,Drug-related crime,173
2021,Illegal possession of firearms and ammunition,42
2021,Kidnapping,5
2021,Malicious damage to property,266
2021,Murder,57
2021,Neglect and ill-treatment of children,4
2021,Public violence,0
2021,Rape,48
2021,Robbery at non-residential premises,9
2021,Robbery at residential premises,32
