year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,173
2024,Attempted murder,30
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,21
2024,Burglary at residential premises,81
2024,Carjacking,103
2024,Commercial crime,80
2024,Common assault,178
2024,Common robbery,26
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,23
2024,Drug-related crime,26
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,10
2024,Malicious damage to property,129
2024,Murder,87
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,53
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,81
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,348
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,94
2024,Stock-theft,5
2024,Street Robbery,216
2024,TRIO crimes,210
2024,Theft of motor vehicle and motorcycle,14
2024,Theft out of or from motor vehicle,32
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,156
2023,Attempted murder,38
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,14
2023,Burglary at residential premises,79
2023,Carjacking,131
2023,Commercial crime,57
2023,Common assault,138
2023,Common robbery,12
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,32
2023,Drug-related crime,36
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,9
2023,Malicious damage to property,131
2023,Murder,96
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,71
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,69
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,393
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,36
2023,Stock-theft,3
2023,Street Robbery,159
2023,TRIO crimes,224
2023,Theft of motor vehicle and motorcycle,32
2023,Theft out of or from motor vehicle,24
2023,Truck hijacking,10
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,137
2022,Attempted murder,18
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,24
2022,Burglary at residential premises,100
2022,Carjacking,61
2022,Commercial crime,39
2022,Common assault,120
2022,Common robbery,21
2022,Contact sexual offences,2
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,20
2022,Drug-related crime,34
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,5
2022,Malicious damage to property,110
2022,Murder,73
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,48
2022,Robbery at non-residential premises,11
2022,Robbery at residential premises,26
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,220
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,35
2022,Stock-theft,7
2022,Street Robbery,115
2022,TRIO crimes,98
2022,Theft of motor vehicle and motorcycle,26
2022,Theft out of or from motor vehicle,22
2022,Truck hijacking,7
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,130
2021,Attempted murder,17
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,22
2021,Burglary at residential premises,96
2021,Carjacking,43
2021,Commercial crime,43
2021,Common assault,135
2021,Common robbery,15
2021,Contact sexual offences,4
2021,Crimen Injuria,5
2021,Culpable homicide,4
2021,Driving under the influence of alcohol or drugs,11
2021,Drug-related crime,76
2021,Illegal possession of firearms and ammunition,20
2021,Kidnapping,8
2021,Malicious damage to property,119
2021,Murder,57
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,36
2021,Robbery at non-residential premises,9
2021,Robbery at residential premises,30
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,193
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,10
2021,Shoplifting,30
2021,Stock-theft,15
2021,Street Robbery,105
2021,TRIO crimes,82
2021,Theft of motor vehicle and motorcycle,27
2021,Theft out of or from motor vehicle,22
2021,Truck hijacking,6
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,173
2020,Attempted murder,29
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,23
2020,Burglary at residential premises,166
2020,Carjacking,68
2020,Commercial crime,29
2020,Common assault,142
2020,Common robbery,26
2020,Contact sexual offences,4
2020,Crimen Injuria,10
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,98
2020,Drug-related crime,142
2020,Illegal possession of firearms and ammunition,20
