year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,325
2024,Attempted murder,42
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,55
2024,Burglary at residential premises,186
2024,Carjacking,79
2024,Commercial crime,83
2024,Common assault,164
2024,Common robbery,15
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,65
2024,Drug-related crime,110
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,9
2024,Malicious damage to property,119
2024,Murder,149
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,83
2024,Robbery at non-residential premises,44
2024,Robbery at residential premises,64
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,299
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,32
2024,Stock-theft,8
2024,Street Robbery,191
2024,TRIO crimes,187
2024,Theft of motor vehicle and motorcycle,20
2024,Theft out of or from motor vehicle,24
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,15
2023,Assault with the intent to inflict grievous bodily harm,327
2023,Attempted murder,72
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,60
2023,Burglary at residential premises,237
2023,Carjacking,87
2023,Commercial crime,63
2023,Common assault,215
2023,Common robbery,23
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,43
2023,Drug-related crime,170
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,2
2023,Malicious damage to property,138
2023,Murder,146
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,78
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,66
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,271
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,25
2023,Stock-theft,17
2023,Street Robbery,84
2023,TRIO crimes,185
2023,Theft of motor vehicle and motorcycle,22
2023,Theft out of or from motor vehicle,52
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,11
2022,Assault with the intent to inflict grievous bodily harm,386
2022,Attempted murder,40
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,79
2022,Burglary at residential premises,226
2022,Carjacking,54
2022,Commercial crime,37
2022,Common assault,191
2022,Common robbery,17
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,11
2022,Drug-related crime,76
2022,Illegal possession of firearms and ammunition,17
2022,Kidnapping,8
2022,Malicious damage to property,160
2022,Murder,81
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,85
2022,Robbery at non-residential premises,45
2022,Robbery at residential premises,56
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,227
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,16
2022,Stock-theft,8
2022,Street Robbery,69
2022,TRIO crimes,155
2022,Theft of motor vehicle and motorcycle,22
2022,Theft out of or from motor vehicle,67
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,285
2021,Attempted murder,21
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,97
2021,Burglary at residential premises,206
2021,Carjacking,56
2021,Commercial crime,22
2021,Common assault,109
2021,Common robbery,8
2021,Contact sexual offences,0
2021,Crimen Injuria,5
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,135
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,4
2021,Malicious damage to property,112
2021,Murder,61
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,80
2021,Robbery at non-residential premises,32
2021,Robbery at residential premises,60
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,220
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,12
2021,Shoplifting,19
2021,Stock-theft,8
2021,Street Robbery,68
2021,TRIO crimes,148
2021,Theft of motor vehicle and motorcycle,14
2021,Theft out of or from motor vehicle,37
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,338
2020,Attempted murder,26
2020,Attempted sexual offences,6
2020,Bank robbery,0
2020,Burglary at non-residential premises,62
2020,Burglary at residential premises,254
2020,Carjacking,64
2020,Commercial crime,16
2020,Common assault,121
2020,Common robbery,21
2020,Contact sexual offences,0
2020,Crimen Injuria,7
2020,Culpable homicide,9
2020,Driving under the influence of alcohol or drugs,30
2020,Drug-related crime,248
2020,Illegal possession of firearms and ammunition,8
2020,Kidnapping,8
2020,Malicious damage to property,135
2020,Murder,44
2020,Neglect and ill-treatment of children,2
2020,Public violence,0
2020,Rape,93
2020,Robbery at non-residential premises,54
2020,Robbery at residential premises,76
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,299
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,7
2020,Shoplifting,44
2020,Stock-theft,14
2020,Street Robbery,105
2020,TRIO crimes,194
2020,Theft of motor vehicle and motorcycle,29
2020,Theft out of or from motor vehicle,114
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,11
2019,Assault with the intent to inflict grievous bodily harm,400
2019,Attempted murder,15
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,47
2019,Burglary at residential premises,253
2019,Carjacking,30
2019,Commercial crime,22
2019,Common assault,150
2019,Common robbery,23
2019,Contact sexual offences,1
2019,Crimen Injuria,4
2019,Culpable homicide,4
2019,Driving under the influence of alcohol or drugs,16
2019,Drug-related crime,222
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,3
2019,Malicious damage to property,144
2019,Murder,43
2019,Neglect and ill-treatment of children,1
2019,Public violence,0
2019,Rape,97
2019,Robbery at non-residential premises,39
2019,Robbery at residential premises,50
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,210
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,30
2019,Stock-theft,10
2019,Street Robbery,91
2019,TRIO crimes,119
2019,Theft of motor vehicle and motorcycle,25
2019,Theft out of or from motor vehicle,129
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,11
2018,Assault with the intent to inflict grievous bodily harm,362
2018,Attempted murder,14
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,62
2018,Burglary at residential premises,227
2018,Carjacking,38
2018,Commercial crime,17
2018,Common assault,119
2018,Common robbery,15
2018,Contact sexual offences,0
2018,Crimen Injuria,10
2018,Culpable homicide,4
2018,Driving under the influence of alcohol or drugs,33
2018,Drug-related crime,405
2018,Illegal possession of firearms and ammunition,17
2018,Kidnapping,6
2018,Malicious damage to property,137
2018,Murder,39
2018,Neglect and ill-treatment of children,1
2018,Public violence,1
2018,Rape,90
2018,Robbery at non-residential premises,32
2018,Robbery at residential premises,48
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,199
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,12
2018,Shoplifting,42
2018,Stock-theft,23
2018,Street Robbery,81
2018,TRIO crimes,118
2018,Theft of motor vehicle and motorcycle,14
2018,Theft out of or from motor vehicle,166
2018,Truck hijacking,0
2017,Abduction,3
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,341
2017,Attempted murder,18
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,58
2017,Burglary at residential premises,187
2017,Carjacking,49
2017,Commercial crime,21
2017,Common assault,156
2017,Common robbery,20
2017,Contact sexual offences,4
2017,Crimen Injuria,8
2017,Culpable homicide,2
2017,Driving under the influence of alcohol or drugs,104
2017,Drug-related crime,626
2017,Illegal possession of firearms and ammunition,22
2017,Kidnapping,11
