year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,302
2024,Attempted murder,84
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,46
2024,Burglary at residential premises,150
2024,Carjacking,195
2024,Commercial crime,112
2024,Common assault,200
2024,Common robbery,38
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,108
2024,Drug-related crime,269
2024,Illegal possession of firearms and ammunition,54
2024,Kidnapping,22
2024,Malicious damage to property,160
2024,Murder,168
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,94
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,139
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,658
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,46
2024,Stock-theft,0
2024,Street Robbery,383
2024,TRIO crimes,368
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,58
2024,Truck hijacking,15
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,375
2023,Attempted murder,89
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,74
2023,Burglary at residential premises,166
2023,Carjacking,192
2023,Commercial crime,86
2023,Common assault,266
2023,Common robbery,39
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,36
2023,Drug-related crime,300
2023,Illegal possession of firearms and ammunition,70
2023,Kidnapping,36
2023,Malicious damage to property,238
2023,Murder,144
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,102
2023,Robbery at non-residential premises,32
2023,Robbery at residential premises,142
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,692
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,16
2023,Shoplifting,29
2023,Stock-theft,5
2023,Street Robbery,324
2023,TRIO crimes,366
2023,Theft of motor vehicle and motorcycle,64
2023,Theft out of or from motor vehicle,69
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,11
2022,Assault with the intent to inflict grievous bodily harm,299
2022,Attempted murder,81
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,78
2022,Burglary at residential premises,189
2022,Carjacking,116
2022,Commercial crime,96
2022,Common assault,302
2022,Common robbery,73
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,18
2022,Drug-related crime,201
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,29
2022,Malicious damage to property,227
2022,Murder,133
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,118
2022,Robbery at non-residential premises,35
2022,Robbery at residential premises,110
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,580
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,22
2022,Stock-theft,2
2022,Street Robbery,316
2022,TRIO crimes,261
2022,Theft of motor vehicle and motorcycle,57
2022,Theft out of or from motor vehicle,60
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,273
2021,Attempted murder,72
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,92
2021,Burglary at residential premises,171
2021,Carjacking,90
2021,Commercial crime,89
2021,Common assault,291
2021,Common robbery,78
2021,Contact sexual offences,4
2021,Crimen Injuria,19
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,9
2021,Drug-related crime,131
2021,Illegal possession of firearms and ammunition,40
2021,Kidnapping,31
2021,Malicious damage to property,232
2021,Murder,98
2021,Neglect and ill-treatment of children,4
2021,Public violence,1
2021,Rape,106
2021,Robbery at non-residential premises,32
2021,Robbery at residential premises,107
