year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,280
2024,Attempted murder,62
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,114
2024,Carjacking,149
2024,Commercial crime,204
2024,Common assault,218
2024,Common robbery,14
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,105
2024,Drug-related crime,233
2024,Illegal possession of firearms and ammunition,30
2024,Kidnapping,20
2024,Malicious damage to property,143
2024,Murder,127
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,99
2024,Robbery at non-residential premises,46
2024,Robbery at residential premises,103
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,430
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,17
2024,Shoplifting,56
2024,Stock-theft,2
2024,Street Robbery,305
2024,TRIO crimes,298
2024,Theft of motor vehicle and motorcycle,29
2024,Theft out of or from motor vehicle,39
2024,Truck hijacking,7
2023,Abduction,0
2023,Arson,13
2023,Assault with the intent to inflict grievous bodily harm,271
2023,Attempted murder,76
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,58
2023,Burglary at residential premises,166
2023,Carjacking,170
2023,Commercial crime,129
2023,Common assault,272
2023,Common robbery,19
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,73
2023,Drug-related crime,203
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,28
2023,Malicious damage to property,221
2023,Murder,127
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,85
2023,Robbery at non-residential premises,21
2023,Robbery at residential premises,92
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,468
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,15
2023,Shoplifting,72
2023,Stock-theft,1
2023,Street Robbery,171
2023,TRIO crimes,283
2023,Theft of motor vehicle and motorcycle,34
2023,Theft out of or from motor vehicle,39
2023,Truck hijacking,14
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,309
2022,Attempted murder,47
2022,Attempted sexual offences,2
2022,Bank robbery,1
2022,Burglary at non-residential premises,53
2022,Burglary at residential premises,130
2022,Carjacking,118
2022,Commercial crime,156
2022,Common assault,214
2022,Common robbery,26
2022,Contact sexual offences,3
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,34
2022,Drug-related crime,145
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,34
2022,Malicious damage to property,182
2022,Murder,105
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,89
2022,Robbery at non-residential premises,38
2022,Robbery at residential premises,62
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,322
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,9
2022,Shoplifting,55
2022,Stock-theft,3
2022,Street Robbery,99
2022,TRIO crimes,218
2022,Theft of motor vehicle and motorcycle,49
2022,Theft out of or from motor vehicle,64
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,194
2021,Attempted murder,48
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,82
2021,Burglary at residential premises,113
2021,Carjacking,89
2021,Commercial crime,100
2021,Common assault,144
2021,Common robbery,17
2021,Contact sexual offences,2
2021,Crimen Injuria,11
2021,Culpable homicide,8
2021,Driving under the influence of alcohol or drugs,31
2021,Drug-related crime,155
2021,Illegal possession of firearms and ammunition,41
2021,Kidnapping,29
2021,Malicious damage to property,153
2021,Murder,101
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,108
2021,Robbery at non-residential premises,33
2021,Robbery at residential premises,76
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,325
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,13
2021,Shoplifting,46
2021,Stock-theft,2
2021,Street Robbery,121
2021,TRIO crimes,198
2021,Theft of motor vehicle and motorcycle,43
2021,Theft out of or from motor vehicle,51
2021,Truck hijacking,6
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,281
2020,Attempted murder,51
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,72
2020,Burglary at residential premises,227
2020,Carjacking,101
2020,Commercial crime,94
2020,Common assault,187
2020,Common robbery,32
2020,Contact sexual offences,3
2020,Crimen Injuria,6
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,430
2020,Drug-related crime,794
2020,Illegal possession of firearms and ammunition,40
2020,Kidnapping,18
2020,Malicious damage to property,180
2020,Murder,96
2020,Neglect and ill-treatment of children,10
2020,Public violence,3
2020,Rape,90
2020,Robbery at non-residential premises,75
2020,Robbery at residential premises,74
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,438
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,10
2020,Shoplifting,99
2020,Stock-theft,3
2020,Street Robbery,185
2020,TRIO crimes,250
2020,Theft of motor vehicle and motorcycle,32
2020,Theft out of or from motor vehicle,69
2020,Truck hijacking,3
2019,Abduction,1
2019,Arson,6
2019,Assault with the intent to inflict grievous bodily harm,364
2019,Attempted murder,44
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,53
2019,Burglary at residential premises,258
2019,Carjacking,88
2019,Commercial crime,86
2019,Common assault,173
2019,Common robbery,37
2019,Contact sexual offences,1
2019,Crimen Injuria,10
2019,Culpable homicide,2
2019,Driving under the influence of alcohol or drugs,521
2019,Drug-related crime,783
2019,Illegal possession of firearms and ammunition,39
2019,Kidnapping,16
2019,Malicious damage to property,196
2019,Murder,68
2019,Neglect and ill-treatment of children,6
2019,Public violence,1
2019,Rape,82
2019,Robbery at non-residential premises,45
2019,Robbery at residential premises,86
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,394
