year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,42
2024,Attempted murder,27
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,223
2024,Burglary at residential premises,295
2024,Carjacking,71
2024,Commercial crime,532
2024,Common assault,238
2024,Common robbery,152
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,165
2024,Drug-related crime,526
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,54
2024,Malicious damage to property,220
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,19
2024,Robbery at non-residential premises,54
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,509
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,7
2024,Shoplifting,344
2024,Stock-theft,0
2024,Street Robbery,164
2024,TRIO crimes,141
2024,Theft of motor vehicle and motorcycle,97
2024,Theft out of or from motor vehicle,568
2024,Truck hijacking,22
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,60
2023,Attempted murder,18
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,301
2023,Burglary at residential premises,328
2023,Carjacking,33
2023,Commercial crime,445
2023,Common assault,269
2023,Common robbery,136
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,97
2023,Drug-related crime,613
2023,Illegal possession of firearms and ammunition,30
2023,Kidnapping,25
2023,Malicious damage to property,251
2023,Murder,11
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,24
2023,Robbery at non-residential premises,38
2023,Robbery at residential premises,20
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,383
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,9
2023,Shoplifting,315
2023,Stock-theft,0
2023,Street Robbery,276
2023,TRIO crimes,91
2023,Theft of motor vehicle and motorcycle,108
2023,Theft out of or from motor vehicle,639
2023,Truck hijacking,16
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,41
2022,Attempted murder,16
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,336
2022,Burglary at residential premises,337
2022,Carjacking,37
2022,Commercial crime,413
2022,Common assault,220
2022,Common robbery,140
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,52
2022,Drug-related crime,439
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,34
2022,Malicious damage to property,227
2022,Murder,10
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,28
2022,Robbery at non-residential premises,52
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,378
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,296
2022,Stock-theft,0
2022,Street Robbery,255
2022,TRIO crimes,110
2022,Theft of motor vehicle and motorcycle,140
2022,Theft out of or from motor vehicle,639
2022,Truck hijacking,12
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,53
2021,Attempted murder,19
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,320
2021,Burglary at residential premises,367
2021,Carjacking,30
2021,Commercial crime,351
2021,Common assault,180
2021,Common robbery,123
2021,Contact sexual offences,3
2021,Crimen Injuria,29
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,27
2021,Drug-related crime,427
2021,Illegal possession of firearms and ammunition,19
2021,Kidnapping,13
2021,Malicious damage to property,189
2021,Murder,9
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,29
2021,Robbery at non-residential premises,47
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,383
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,14
2021,Shoplifting,385
2021,Stock-theft,0
2021,Street Robbery,278
2021,TRIO crimes,91
2021,Theft of motor vehicle and motorcycle,139
2021,Theft out of or from motor vehicle,547
2021,Truck hijacking,13
2020,Abduction,0
2020,Arson,1
2020,Assault with the intent to inflict grievous bodily harm,69
2020,Attempted murder,8
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,266
2020,Burglary at residential premises,335
2020,Carjacking,30
2020,Commercial crime,321
2020,Common assault,237
2020,Common robbery,154
2020,Contact sexual offences,0
2020,Crimen Injuria,45
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,114
2020,Drug-related crime,534
2020,Illegal possession of firearms and ammunition,19
