year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,85
2024,Attempted murder,39
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,26
2024,Burglary at residential premises,97
2024,Carjacking,89
2024,Commercial crime,123
2024,Common assault,122
2024,Common robbery,16
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,101
2024,Drug-related crime,24
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,62
2024,Malicious damage to property,116
2024,Murder,44
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,33
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,35
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,347
2024,Sexual Offences detected as a result of police action,8
2024,Sexual assault,6
2024,Shoplifting,8
2024,Stock-theft,5
2024,Street Robbery,222
2024,TRIO crimes,150
2024,Theft of motor vehicle and motorcycle,23
2024,Theft out of or from motor vehicle,128
2024,Truck hijacking,70
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,79
2023,Attempted murder,25
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,31
2023,Burglary at residential premises,92
2023,Carjacking,66
2023,Commercial crime,98
2023,Common assault,148
2023,Common robbery,26
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,85
2023,Drug-related crime,39
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,17
2023,Malicious damage to property,121
2023,Murder,41
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,29
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,222
2023,Sexual Offences detected as a result of police action,7
2023,Sexual assault,3
2023,Shoplifting,15
2023,Stock-theft,11
2023,Street Robbery,100
2023,TRIO crimes,95
2023,Theft of motor vehicle and motorcycle,25
2023,Theft out of or from motor vehicle,127
