year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,166
2024,Attempted murder,20
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,37
2024,Burglary at residential premises,566
2024,Carjacking,16
2024,Commercial crime,525
2024,Common assault,180
2024,Common robbery,47
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,159
2024,Drug-related crime,81
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,5
2024,Malicious damage to property,227
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,54
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,61
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,205
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,10
2024,Shoplifting,101
2024,Stock-theft,2
2024,Street Robbery,98
2024,TRIO crimes,96
2024,Theft of motor vehicle and motorcycle,67
2024,Theft out of or from motor vehicle,295
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,185
2023,Attempted murder,24
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,34
2023,Burglary at residential premises,625
2023,Carjacking,9
2023,Commercial crime,396
2023,Common assault,199
2023,Common robbery,45
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,127
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,2
2023,Malicious damage to property,222
2023,Murder,52
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,40
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,53
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,193
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,85
2023,Stock-theft,0
2023,Street Robbery,114
2023,TRIO crimes,79
2023,Theft of motor vehicle and motorcycle,69
2023,Theft out of or from motor vehicle,323
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,12
2022,Assault with the intent to inflict grievous bodily harm,168
2022,Attempted murder,36
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,52
2022,Burglary at residential premises,437
2022,Carjacking,16
2022,Commercial crime,396
2022,Common assault,196
2022,Common robbery,53
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,34
2022,Drug-related crime,106
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,4
2022,Malicious damage to property,245
2022,Murder,76
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,69
2022,Robbery at non-residential premises,21
2022,Robbery at residential premises,62
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,272
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,10
2022,Shoplifting,88
2022,Stock-theft,3
2022,Street Robbery,172
2022,TRIO crimes,99
2022,Theft of motor vehicle and motorcycle,81
2022,Theft out of or from motor vehicle,326
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,13
2021,Assault with the intent to inflict grievous bodily harm,205
2021,Attempted murder,29
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,123
2021,Burglary at residential premises,483
2021,Carjacking,16
2021,Commercial crime,285
2021,Common assault,238
2021,Common robbery,72
2021,Contact sexual offences,2
2021,Crimen Injuria,20
2021,Culpable homicide,6
2021,Driving under the influence of alcohol or drugs,12
2021,Drug-related crime,185
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,8
2021,Malicious damage to property,254
2021,Murder,27
2021,Neglect and ill-treatment of children,3
2021,Public violence,2
2021,Rape,53
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,96
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,360
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,9
2021,Shoplifting,110
2021,Stock-theft,2
2021,Street Robbery,222
2021,TRIO crimes,138
2021,Theft of motor vehicle and motorcycle,69
2021,Theft out of or from motor vehicle,409
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,241
2020,Attempted murder,48
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,120
2020,Burglary at residential premises,559
2020,Carjacking,6
2020,Commercial crime,268
2020,Common assault,221
2020,Common robbery,97
2020,Contact sexual offences,2
2020,Crimen Injuria,27
2020,Culpable homicide,7
2020,Driving under the influence of alcohol or drugs,125
2020,Drug-related crime,304
2020,Illegal possession of firearms and ammunition,9
