year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,71
2024,Attempted murder,7
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,96
2024,Burglary at residential premises,259
2024,Carjacking,11
2024,Commercial crime,317
2024,Common assault,184
2024,Common robbery,32
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,68
2024,Drug-related crime,83
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,18
2024,Malicious damage to property,100
2024,Murder,2
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,25
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,99
2024,Sexual Offences detected as a result of police action,71
2024,Sexual assault,9
2024,Shoplifting,71
2024,Stock-theft,1
2024,Street Robbery,42
2024,TRIO crimes,38
2024,Theft of motor vehicle and motorcycle,74
2024,Theft out of or from motor vehicle,99
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,58
2023,Attempted murder,17
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,75
2023,Burglary at residential premises,305
2023,Carjacking,5
2023,Commercial crime,233
2023,Common assault,172
2023,Common robbery,22
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,49
2023,Drug-related crime,75
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,8
2023,Malicious damage to property,101
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,13
2023,Robbery at non-residential premises,11
2023,Robbery at residential premises,17
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,81
2023,Sexual Offences detected as a result of police action,46
2023,Sexual assault,6
2023,Shoplifting,63
2023,Stock-theft,2
2023,Street Robbery,42
2023,TRIO crimes,33
2023,Theft of motor vehicle and motorcycle,68
