year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,307
2024,Attempted murder,17
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,47
2024,Burglary at residential premises,179
2024,Carjacking,2
2024,Commercial crime,55
2024,Common assault,640
2024,Common robbery,48
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,38
2024,Drug-related crime,61
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,11
2024,Malicious damage to property,187
2024,Murder,9
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,58
2024,Robbery at non-residential premises,3
2024,Robbery at residential premises,5
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,69
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,85
2024,Stock-theft,15
2024,Street Robbery,10
2024,TRIO crimes,10
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,58
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,266
2023,Attempted murder,11
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,55
2023,Burglary at residential premises,170
2023,Carjacking,1
2023,Commercial crime,52
2023,Common assault,533
2023,Common robbery,50
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,29
2023,Drug-related crime,100
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,8
2023,Malicious damage to property,216
2023,Murder,22
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,40
2023,Robbery at non-residential premises,5
2023,Robbery at residential premises,4
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,51
2023,Sexual Offences detected as a result of police action,4
2023,Sexual assault,4
2023,Shoplifting,74
2023,Stock-theft,16
2023,Street Robbery,40
2023,TRIO crimes,10
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,39
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,244
2022,Attempted murder,8
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,49
2022,Burglary at residential premises,223
2022,Carjacking,2
2022,Commercial crime,41
2022,Common assault,467
2022,Common robbery,27
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,73
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,3
2022,Malicious damage to property,218
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,52
2022,Robbery at non-residential premises,6
2022,Robbery at residential premises,3
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,62
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,14
2022,Shoplifting,45
2022,Stock-theft,10
2022,Street Robbery,51
2022,TRIO crimes,11
2022,Theft of motor vehicle and motorcycle,9
2022,Theft out of or from motor vehicle,58
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,238
2021,Attempted murder,5
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,88
2021,Burglary at residential premises,228
2021,Carjacking,2
2021,Commercial crime,28
2021,Common assault,300
2021,Common robbery,29
2021,Contact sexual offences,1
2021,Crimen Injuria,118
2021,Culpable homicide,2
2021,Driving under the influence of alcohol or drugs,24
2021,Drug-related crime,78
2021,Illegal possession of firearms and ammunition,1
2021,Kidnapping,6
2021,Malicious damage to property,136
2021,Murder,18
2021,Neglect and ill-treatment of children,5
2021,Public violence,2
2021,Rape,38
2021,Robbery at non-residential premises,3
2021,Robbery at residential premises,10
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,63
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,7
2021,Shoplifting,17
2021,Stock-theft,15
2021,Street Robbery,48
2021,TRIO crimes,15
2021,Theft of motor vehicle and motorcycle,20
2021,Theft out of or from motor vehicle,73
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,3
2020,Assault with the intent to inflict grievous bodily harm,284
2020,Attempted murder,10
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,67
2020,Burglary at residential premises,268
2020,Carjacking,4
2020,Commercial crime,21
2020,Common assault,306
2020,Common robbery,46
2020,Contact sexual offences,2
2020,Crimen Injuria,79
2020,Culpable homicide,3
2020,Driving under the influence of alcohol or drugs,44
2020,Drug-related crime,66
2020,Illegal possession of firearms and ammunition,1
