year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,13
2024,Attempted murder,5
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,94
2024,Burglary at residential premises,135
2024,Carjacking,5
2024,Commercial crime,46
2024,Common assault,105
2024,Common robbery,10
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,24
2024,Drug-related crime,60
2024,Illegal possession of firearms and ammunition,13
2024,Kidnapping,17
2024,Malicious damage to property,21
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,8
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,3
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,43
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,51
2024,Stock-theft,20
2024,Street Robbery,28
2024,TRIO crimes,18
2024,Theft of motor vehicle and motorcycle,23
2024,Theft out of or from motor vehicle,66
2024,Truck hijacking,10
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,10
2023,Attempted murder,10
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,94
2023,Burglary at residential premises,129
2023,Carjacking,6
2023,Commercial crime,45
2023,Common assault,60
2023,Common robbery,8
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,19
2023,Drug-related crime,76
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,11
2023,Malicious damage to property,18
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,12
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,4
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,29
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,56
2023,Stock-theft,22
2023,Street Robbery,7
2023,TRIO crimes,14
2023,Theft of motor vehicle and motorcycle,12
2023,Theft out of or from motor vehicle,31
