year,category,value
2024,Abduction,0
2024,Arson,16
2024,Assault with the intent to inflict grievous bodily harm,739
2024,Attempted murder,194
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,90
2024,Burglary at residential premises,303
2024,Carjacking,11
2024,Commercial crime,73
2024,Common assault,834
2024,Common robbery,70
2024,Contact sexual offences,5
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,50
2024,Drug-related crime,246
2024,Illegal possession of firearms and ammunition,24
2024,Kidnapping,33
2024,Malicious damage to property,367
2024,Murder,58
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,120
2024,Robbery at non-residential premises,68
2024,Robbery at residential premises,50
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,290
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,18
2024,Shoplifting,30
2024,Stock-theft,4
2024,Street Robbery,130
2024,TRIO crimes,129
2024,Theft of motor vehicle and motorcycle,16
2024,Theft out of or from motor vehicle,122
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,585
2023,Attempted murder,141
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,103
2023,Burglary at residential premises,347
2023,Carjacking,7
2023,Commercial crime,83
2023,Common assault,867
2023,Common robbery,76
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,41
2023,Drug-related crime,207
2023,Illegal possession of firearms and ammunition,21
2023,Kidnapping,51
2023,Malicious damage to property,379
2023,Murder,52
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,140
2023,Robbery at non-residential premises,53
2023,Robbery at residential premises,44
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,290
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,22
2023,Shoplifting,30
2023,Stock-theft,1
2023,Street Robbery,186
2023,TRIO crimes,104
2023,Theft of motor vehicle and motorcycle,28
2023,Theft out of or from motor vehicle,86
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,477
2022,Attempted murder,93
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,82
2022,Burglary at residential premises,310
2022,Carjacking,16
2022,Commercial crime,90
2022,Common assault,872
2022,Common robbery,61
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,49
2022,Drug-related crime,173
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,31
2022,Malicious damage to property,327
2022,Murder,67
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,141
2022,Robbery at non-residential premises,85
2022,Robbery at residential premises,63
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,334
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,20
2022,Shoplifting,18
2022,Stock-theft,0
2022,Street Robbery,170
2022,TRIO crimes,164
2022,Theft of motor vehicle and motorcycle,40
2022,Theft out of or from motor vehicle,100
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,10
2021,Assault with the intent to inflict grievous bodily harm,346
2021,Attempted murder,72
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,99
2021,Burglary at residential premises,241
2021,Carjacking,7
2021,Commercial crime,76
2021,Common assault,752
2021,Common robbery,71
2021,Contact sexual offences,3
2021,Crimen Injuria,94
2021,Culpable homicide,3
2021,Driving under the influence of alcohol or drugs,35
2021,Drug-related crime,103
2021,Illegal possession of firearms and ammunition,25
2021,Kidnapping,26
2021,Malicious damage to property,273
2021,Murder,51
2021,Neglect and ill-treatment of children,12
2021,Public violence,18
2021,Rape,98
2021,Robbery at non-residential premises,60
2021,Robbery at residential premises,65
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,281
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,28
2021,Shoplifting,22
2021,Stock-theft,1
2021,Street Robbery,149
2021,TRIO crimes,132
2021,Theft of motor vehicle and motorcycle,32
2021,Theft out of or from motor vehicle,90
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,11
2020,Assault with the intent to inflict grievous bodily harm,457
2020,Attempted murder,38
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,116
2020,Burglary at residential premises,351
2020,Carjacking,16
2020,Commercial crime,74
2020,Common assault,757
2020,Common robbery,75
2020,Contact sexual offences,1
2020,Crimen Injuria,105
2020,Culpable homicide,4
2020,Driving under the influence of alcohol or drugs,45
2020,Drug-related crime,191
2020,Illegal possession of firearms and ammunition,25
2020,Kidnapping,21
2020,Malicious damage to property,285
2020,Murder,71
2020,Neglect and ill-treatment of children,15
2020,Public violence,7
2020,Rape,138
2020,Robbery at non-residential premises,58
2020,Robbery at residential premises,92
2020,Robbery of cash in transit,2
2020,Robbery with aggravating circumstances,409
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,27
2020,Shoplifting,71
2020,Stock-theft,1
