year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,72
2024,Attempted murder,18
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,42
2024,Burglary at residential premises,174
2024,Carjacking,7
2024,Commercial crime,44
2024,Common assault,164
2024,Common robbery,27
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,45
2024,Drug-related crime,36
2024,Illegal possession of firearms and ammunition,12
2024,Kidnapping,11
2024,Malicious damage to property,64
2024,Murder,5
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,7
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,56
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,5
2024,Shoplifting,53
2024,Stock-theft,29
2024,Street Robbery,21
2024,TRIO crimes,21
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,31
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,62
2023,Attempted murder,10
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,89
2023,Burglary at residential premises,224
2023,Carjacking,11
2023,Commercial crime,44
2023,Common assault,180
2023,Common robbery,25
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,31
2023,Drug-related crime,36
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,5
2023,Malicious damage to property,90
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,36
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,101
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,56
2023,Stock-theft,31
2023,Street Robbery,49
2023,TRIO crimes,51
2023,Theft of motor vehicle and motorcycle,16
