year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,244
2024,Attempted murder,92
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,349
2024,Burglary at residential premises,611
2024,Carjacking,21
2024,Commercial crime,457
2024,Common assault,514
2024,Common robbery,142
2024,Contact sexual offences,7
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,86
2024,Drug-related crime,131
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,94
2024,Malicious damage to property,212
2024,Murder,28
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,89
2024,Robbery at non-residential premises,56
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,285
2024,Sexual Offences detected as a result of police action,9
2024,Sexual assault,22
2024,Shoplifting,299
2024,Stock-theft,19
2024,Street Robbery,102
2024,TRIO crimes,101
2024,Theft of motor vehicle and motorcycle,54
2024,Theft out of or from motor vehicle,372
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,177
2023,Attempted murder,51
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,316
2023,Burglary at residential premises,669
2023,Carjacking,20
2023,Commercial crime,581
2023,Common assault,470
2023,Common robbery,136
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,70
2023,Drug-related crime,109
2023,Illegal possession of firearms and ammunition,26
2023,Kidnapping,61
2023,Malicious damage to property,188
2023,Murder,22
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,91
2023,Robbery at non-residential premises,54
2023,Robbery at residential premises,34
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,270
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,26
2023,Shoplifting,247
2023,Stock-theft,21
2023,Street Robbery,159
2023,TRIO crimes,108
2023,Theft of motor vehicle and motorcycle,69
2023,Theft out of or from motor vehicle,362
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,161
2022,Attempted murder,23
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,208
2022,Burglary at residential premises,572
2022,Carjacking,27
2022,Commercial crime,513
2022,Common assault,418
2022,Common robbery,113
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,80
2022,Drug-related crime,87
2022,Illegal possession of firearms and ammunition,25
2022,Kidnapping,23
2022,Malicious damage to property,184
2022,Murder,27
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,63
2022,Robbery at non-residential premises,62
2022,Robbery at residential premises,29
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,243
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,20
2022,Shoplifting,201
2022,Stock-theft,22
2022,Street Robbery,125
2022,TRIO crimes,118
2022,Theft of motor vehicle and motorcycle,71
2022,Theft out of or from motor vehicle,370
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,131
2021,Attempted murder,21
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,248
2021,Burglary at residential premises,466
2021,Carjacking,15
2021,Commercial crime,532
2021,Common assault,384
2021,Common robbery,73
2021,Contact sexual offences,3
2021,Crimen Injuria,68
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,57
2021,Drug-related crime,85
2021,Illegal possession of firearms and ammunition,37
2021,Kidnapping,14
2021,Malicious damage to property,145
2021,Murder,24
2021,Neglect and ill-treatment of children,8
2021,Public violence,0
2021,Rape,62
2021,Robbery at non-residential premises,51
2021,Robbery at residential premises,25
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,212
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,13
2021,Shoplifting,236
2021,Stock-theft,28
2021,Street Robbery,120
2021,TRIO crimes,91
2021,Theft of motor vehicle and motorcycle,75
2021,Theft out of or from motor vehicle,328
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,151
2020,Attempted murder,28
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,400
2020,Burglary at residential premises,542
2020,Carjacking,23
2020,Commercial crime,552
2020,Common assault,439
2020,Common robbery,105
2020,Contact sexual offences,3
2020,Crimen Injuria,85
2020,Culpable homicide,27
2020,Driving under the influence of alcohol or drugs,69
2020,Drug-related crime,103
2020,Illegal possession of firearms and ammunition,37
