year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,539
2024,Attempted murder,20
2024,Attempted sexual offences,11
2024,Bank robbery,0
2024,Burglary at non-residential premises,83
2024,Burglary at residential premises,239
2024,Carjacking,7
2024,Commercial crime,30
2024,Common assault,658
2024,Common robbery,32
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,58
2024,Drug-related crime,150
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,7
2024,Malicious damage to property,257
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,75
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,22
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,123
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,0
2024,Stock-theft,31
2024,Street Robbery,58
2024,TRIO crimes,56
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,22
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,510
2023,Attempted murder,38
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,51
2023,Burglary at residential premises,249
2023,Carjacking,12
2023,Commercial crime,19
2023,Common assault,565
2023,Common robbery,38
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,42
2023,Drug-related crime,168
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,8
2023,Malicious damage to property,269
2023,Murder,33
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,108
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,92
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,11
2023,Shoplifting,0
2023,Stock-theft,31
2023,Street Robbery,52
2023,TRIO crimes,39
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,19
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,458
2022,Attempted murder,20
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,36
2022,Burglary at residential premises,200
2022,Carjacking,4
2022,Commercial crime,34
2022,Common assault,541
2022,Common robbery,28
2022,Contact sexual offences,4
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,41
2022,Drug-related crime,138
2022,Illegal possession of firearms and ammunition,9
2022,Kidnapping,6
2022,Malicious damage to property,238
2022,Murder,31
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,106
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,121
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,0
2022,Stock-theft,25
2022,Street Robbery,88
2022,TRIO crimes,33
2022,Theft of motor vehicle and motorcycle,6
2022,Theft out of or from motor vehicle,30
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,412
2021,Attempted murder,11
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,41
2021,Burglary at residential premises,164
2021,Carjacking,1
2021,Commercial crime,22
2021,Common assault,437
2021,Common robbery,43
2021,Contact sexual offences,1
2021,Crimen Injuria,104
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,23
2021,Drug-related crime,103
2021,Illegal possession of firearms and ammunition,3
2021,Kidnapping,4
2021,Malicious damage to property,222
2021,Murder,27
2021,Neglect and ill-treatment of children,8
2021,Public violence,5
2021,Rape,79
2021,Robbery at non-residential premises,30
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,138
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,14
2021,Shoplifting,0
2021,Stock-theft,32
2021,Street Robbery,93
2021,TRIO crimes,45
2021,Theft of motor vehicle and motorcycle,3
2021,Theft out of or from motor vehicle,44
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,3
2020,Assault with the intent to inflict grievous bodily harm,504
2020,Attempted murder,17
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,51
2020,Burglary at residential premises,192
2020,Carjacking,0
2020,Commercial crime,16
2020,Common assault,394
2020,Common robbery,44
2020,Contact sexual offences,2
2020,Crimen Injuria,65
2020,Culpable homicide,10
2020,Driving under the influence of alcohol or drugs,80
2020,Drug-related crime,93
2020,Illegal possession of firearms and ammunition,3
2020,Kidnapping,16
2020,Malicious damage to property,172
2020,Murder,32
2020,Neglect and ill-treatment of children,8
2020,Public violence,17
2020,Rape,76
2020,Robbery at non-residential premises,18
2020,Robbery at residential premises,7
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,124
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,12
2020,Shoplifting,0
2020,Stock-theft,24
2020,Street Robbery,99
2020,TRIO crimes,25
2020,Theft of motor vehicle and motorcycle,4
2020,Theft out of or from motor vehicle,31
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,446
2019,Attempted murder,23
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,52
2019,Burglary at residential premises,244
2019,Carjacking,5
2019,Commercial crime,15
2019,Common assault,435
2019,Common robbery,35
2019,Contact sexual offences,3
2019,Crimen Injuria,69
2019,Culpable homicide,12
2019,Driving under the influence of alcohol or drugs,57
2019,Drug-related crime,106
2019,Illegal possession of firearms and ammunition,8
2019,Kidnapping,2
2019,Malicious damage to property,202
2019,Murder,27
2019,Neglect and ill-treatment of children,12
2019,Public violence,6
2019,Rape,85
2019,Robbery at non-residential premises,26
2019,Robbery at residential premises,8
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,98
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,6
2019,Shoplifting,0
2019,Stock-theft,26
2019,Street Robbery,59
2019,TRIO crimes,39
2019,Theft of motor vehicle and motorcycle,4
2019,Theft out of or from motor vehicle,29
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,440
2018,Attempted murder,10
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,76
2018,Burglary at residential premises,242
2018,Carjacking,2
2018,Commercial crime,16
2018,Common assault,359
2018,Common robbery,27
2018,Contact sexual offences,2
2018,Crimen Injuria,51
2018,Culpable homicide,18
2018,Driving under the influence of alcohol or drugs,62
2018,Drug-related crime,256
2018,Illegal possession of firearms and ammunition,8
2018,Kidnapping,2
2018,Malicious damage to property,200
2018,Murder,32
2018,Neglect and ill-treatment of children,6
2018,Public violence,4
2018,Rape,95
2018,Robbery at non-residential premises,16
2018,Robbery at residential premises,7
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,68
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,9
2018,Shoplifting,0
2018,Stock-theft,52
2018,Street Robbery,43
2018,TRIO crimes,25
2018,Theft of motor vehicle and motorcycle,2
2018,Theft out of or from motor vehicle,26
2018,Truck hijacking,0
2017,Abduction,1
2017,Arson,2
2017,Assault with the intent to inflict grievous bodily harm,526
2017,Attempted murder,12
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,78
2017,Burglary at residential premises,352
2017,Carjacking,6
2017,Commercial crime,4
2017,Common assault,465
2017,Common robbery,43
2017,Contact sexual offences,2
2017,Crimen Injuria,73
2017,Culpable homicide,18
2017,Driving under the influence of alcohol or drugs,63
2017,Drug-related crime,270
2017,Illegal possession of firearms and ammunition,8
2017,Kidnapping,3
