year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,381
2024,Attempted murder,34
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,75
2024,Burglary at residential premises,250
2024,Carjacking,19
2024,Commercial crime,68
2024,Common assault,553
2024,Common robbery,45
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,60
2024,Drug-related crime,162
2024,Illegal possession of firearms and ammunition,27
2024,Kidnapping,16
2024,Malicious damage to property,265
2024,Murder,44
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,96
2024,Robbery at non-residential premises,17
2024,Robbery at residential premises,15
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,172
2024,Sexual Offences detected as a result of police action,41
2024,Sexual assault,16
2024,Shoplifting,115
2024,Stock-theft,2
2024,Street Robbery,51
2024,TRIO crimes,51
2024,Theft of motor vehicle and motorcycle,20
2024,Theft out of or from motor vehicle,207
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,331
2023,Attempted murder,25
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,118
2023,Burglary at residential premises,273
2023,Carjacking,11
2023,Commercial crime,46
2023,Common assault,536
2023,Common robbery,31
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,47
2023,Drug-related crime,166
2023,Illegal possession of firearms and ammunition,18
2023,Kidnapping,7
2023,Malicious damage to property,285
2023,Murder,42
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,73
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,2
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,137
2023,Sexual Offences detected as a result of police action,28
2023,Sexual assault,13
2023,Shoplifting,101
2023,Stock-theft,7
2023,Street Robbery,112
2023,TRIO crimes,25
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,283
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,289
2022,Attempted murder,8
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,61
2022,Burglary at residential premises,315
2022,Carjacking,16
2022,Commercial crime,64
2022,Common assault,546
2022,Common robbery,36
2022,Contact sexual offences,5
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,134
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,5
2022,Malicious damage to property,276
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,71
2022,Robbery at non-residential premises,7
2022,Robbery at residential premises,11
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,93
2022,Sexual Offences detected as a result of police action,29
2022,Sexual assault,17
2022,Shoplifting,32
2022,Stock-theft,4
2022,Street Robbery,58
2022,TRIO crimes,34
2022,Theft of motor vehicle and motorcycle,13
2022,Theft out of or from motor vehicle,253
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,259
2021,Attempted murder,13
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,47
2021,Burglary at residential premises,174
2021,Carjacking,13
2021,Commercial crime,82
2021,Common assault,444
2021,Common robbery,28
2021,Contact sexual offences,2
2021,Crimen Injuria,19
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,48
2021,Drug-related crime,101
2021,Illegal possession of firearms and ammunition,7
2021,Kidnapping,1
2021,Malicious damage to property,200
2021,Murder,24
2021,Neglect and ill-treatment of children,5
2021,Public violence,1
2021,Rape,59
2021,Robbery at non-residential premises,7
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,69
2021,Sexual Offences detected as a result of police action,7
2021,Sexual assault,15
2021,Shoplifting,61
2021,Stock-theft,2
2021,Street Robbery,35
2021,TRIO crimes,34
2021,Theft of motor vehicle and motorcycle,15
2021,Theft out of or from motor vehicle,152
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,3
2020,Assault with the intent to inflict grievous bodily harm,317
2020,Attempted murder,9
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,58
2020,Burglary at residential premises,312
2020,Carjacking,9
2020,Commercial crime,51
2020,Common assault,482
2020,Common robbery,45
2020,Contact sexual offences,2
2020,Crimen Injuria,21
2020,Culpable homicide,4
2020,Driving under the influence of alcohol or drugs,40
2020,Drug-related crime,133
2020,Illegal possession of firearms and ammunition,7
2020,Kidnapping,7
2020,Malicious damage to property,186
2020,Murder,28
2020,Neglect and ill-treatment of children,6
2020,Public violence,1
2020,Rape,82
2020,Robbery at non-residential premises,10
2020,Robbery at residential premises,8
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,96
2020,Sexual Offences detected as a result of police action,13
2020,Sexual assault,15
2020,Shoplifting,54
2020,Stock-theft,7
2020,Street Robbery,69
2020,TRIO crimes,27
2020,Theft of motor vehicle and motorcycle,20
2020,Theft out of or from motor vehicle,170
2020,Truck hijacking,0
2019,Abduction,1
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,339
2019,Attempted murder,15
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,54
2019,Burglary at residential premises,331
2019,Carjacking,12
2019,Commercial crime,48
2019,Common assault,541
2019,Common robbery,77
2019,Contact sexual offences,6
2019,Crimen Injuria,49
2019,Culpable homicide,8
2019,Driving under the influence of alcohol or drugs,34
2019,Drug-related crime,235
2019,Illegal possession of firearms and ammunition,11
2019,Kidnapping,3
2019,Malicious damage to property,248
2019,Murder,40
2019,Neglect and ill-treatment of children,10
2019,Public violence,4
2019,Rape,83
2019,Robbery at non-residential premises,7
2019,Robbery at residential premises,21
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,205
2019,Sexual Offences detected as a result of police action,11
2019,Sexual assault,9
2019,Shoplifting,103
2019,Stock-theft,5
2019,Street Robbery,165
2019,TRIO crimes,40
2019,Theft of motor vehicle and motorcycle,18
2019,Theft out of or from motor vehicle,161
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,8
2018,Assault with the intent to inflict grievous bodily harm,342
2018,Attempted murder,22
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,43
2018,Burglary at residential premises,459
2018,Carjacking,18
2018,Commercial crime,43
2018,Common assault,523
2018,Common robbery,106
2018,Contact sexual offences,7
2018,Crimen Injuria,25
2018,Culpable homicide,6
2018,Driving under the influence of alcohol or drugs,34
2018,Drug-related crime,273
2018,Illegal possession of firearms and ammunition,14
2018,Kidnapping,0
2018,Malicious damage to property,235
2018,Murder,44
2018,Neglect and ill-treatment of children,8
2018,Public violence,2
2018,Rape,65
2018,Robbery at non-residential premises,9
2018,Robbery at residential premises,31
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,265
2018,Sexual Offences detected as a result of police action,13
2018,Sexual assault,12
2018,Shoplifting,65
2018,Stock-theft,5
2018,Street Robbery,207
2018,TRIO crimes,58
2018,Theft of motor vehicle and motorcycle,28
2018,Theft out of or from motor vehicle,204
2018,Truck hijacking,0
2017,Abduction,2
2017,Arson,11
2017,Assault with the intent to inflict grievous bodily harm,375
2017,Attempted murder,21
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,81
2017,Burglary at residential premises,583
2017,Carjacking,15
2017,Commercial crime,54
2017,Common assault,637
2017,Common robbery,85
2017,Contact sexual offences,5
2017,Crimen Injuria,42
2017,Culpable homicide,6
2017,Driving under the influence of alcohol or drugs,37
2017,Drug-related crime,195
2017,Illegal possession of firearms and ammunition,8
2017,Kidnapping,1
