year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,264
2024,Attempted murder,18
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,91
2024,Burglary at residential premises,159
2024,Carjacking,14
2024,Commercial crime,79
2024,Common assault,375
2024,Common robbery,37
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,132
2024,Drug-related crime,699
2024,Illegal possession of firearms and ammunition,26
2024,Kidnapping,12
2024,Malicious damage to property,184
2024,Murder,15
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,73
2024,Robbery at non-residential premises,7
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,125
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,46
2024,Stock-theft,0
2024,Street Robbery,30
2024,TRIO crimes,29
2024,Theft of motor vehicle and motorcycle,25
2024,Theft out of or from motor vehicle,127
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,198
2023,Attempted murder,14
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,85
2023,Burglary at residential premises,153
2023,Carjacking,6
2023,Commercial crime,91
2023,Common assault,335
2023,Common robbery,47
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,143
2023,Drug-related crime,592
2023,Illegal possession of firearms and ammunition,33
2023,Kidnapping,6
2023,Malicious damage to property,168
2023,Murder,17
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,46
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,5
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,67
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,14
2023,Shoplifting,37
2023,Stock-theft,2
2023,Street Robbery,52
2023,TRIO crimes,15
2023,Theft of motor vehicle and motorcycle,21
2023,Theft out of or from motor vehicle,123
