year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,46
2024,Attempted murder,7
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,81
2024,Burglary at residential premises,115
2024,Carjacking,5
2024,Commercial crime,91
2024,Common assault,122
2024,Common robbery,14
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,23
2024,Drug-related crime,155
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,1
2024,Malicious damage to property,33
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,15
2024,Robbery at non-residential premises,8
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,61
2024,Sexual Offences detected as a result of police action,58
2024,Sexual assault,6
2024,Shoplifting,15
2024,Stock-theft,23
2024,Street Robbery,20
2024,TRIO crimes,20
2024,Theft of motor vehicle and motorcycle,15
2024,Theft out of or from motor vehicle,97
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,46
2023,Attempted murder,2
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,108
2023,Burglary at residential premises,151
2023,Carjacking,4
2023,Commercial crime,81
2023,Common assault,119
2023,Common robbery,16
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,21
2023,Drug-related crime,146
2023,Illegal possession of firearms and ammunition,13
2023,Kidnapping,2
2023,Malicious damage to property,35
2023,Murder,2
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,15
2023,Robbery at non-residential premises,8
2023,Robbery at residential premises,3
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,59
2023,Sexual Offences detected as a result of police action,49
2023,Sexual assault,6
2023,Shoplifting,22
2023,Stock-theft,13
2023,Street Robbery,43
2023,TRIO crimes,15
2023,Theft of motor vehicle and motorcycle,8
2023,Theft out of or from motor vehicle,73
