year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,232
2024,Attempted murder,90
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,360
2024,Burglary at residential premises,724
2024,Carjacking,24
2024,Commercial crime,367
2024,Common assault,596
2024,Common robbery,450
2024,Contact sexual offences,5
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,167
2024,Drug-related crime,687
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,41
2024,Malicious damage to property,261
2024,Murder,29
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,89
2024,Robbery at non-residential premises,29
2024,Robbery at residential premises,74
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,534
2024,Sexual Offences detected as a result of police action,253
2024,Sexual assault,29
2024,Shoplifting,671
2024,Stock-theft,5
2024,Street Robbery,127
2024,TRIO crimes,127
2024,Theft of motor vehicle and motorcycle,104
2024,Theft out of or from motor vehicle,991
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,216
2023,Attempted murder,60
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,399
2023,Burglary at residential premises,878
2023,Carjacking,30
2023,Commercial crime,838
2023,Common assault,634
2023,Common robbery,431
2023,Contact sexual offences,14
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,133
2023,Drug-related crime,656
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,46
2023,Malicious damage to property,295
2023,Murder,23
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,92
2023,Robbery at non-residential premises,73
2023,Robbery at residential premises,48
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,606
2023,Sexual Offences detected as a result of police action,254
2023,Sexual assault,37
2023,Shoplifting,585
2023,Stock-theft,3
2023,Street Robbery,453
2023,TRIO crimes,151
2023,Theft of motor vehicle and motorcycle,152
