year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,344
2024,Attempted murder,19
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,23
2024,Burglary at residential premises,97
2024,Carjacking,1
2024,Commercial crime,67
2024,Common assault,256
2024,Common robbery,30
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,45
2024,Drug-related crime,52
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,7
2024,Malicious damage to property,134
2024,Murder,28
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,60
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,62
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,8
2024,Shoplifting,0
2024,Stock-theft,97
2024,Street Robbery,16
2024,TRIO crimes,16
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,19
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,368
2023,Attempted murder,16
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,109
2023,Carjacking,2
2023,Commercial crime,54
2023,Common assault,265
2023,Common robbery,16
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,30
2023,Drug-related crime,43
2023,Illegal possession of firearms and ammunition,15
2023,Kidnapping,1
2023,Malicious damage to property,131
2023,Murder,14
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,73
2023,Robbery at non-residential premises,11
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,58
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,0
2023,Stock-theft,114
2023,Street Robbery,37
2023,TRIO crimes,21
2023,Theft of motor vehicle and motorcycle,5
2023,Theft out of or from motor vehicle,11
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,274
2022,Attempted murder,12
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,50
2022,Burglary at residential premises,155
2022,Carjacking,4
2022,Commercial crime,40
2022,Common assault,268
2022,Common robbery,30
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,35
2022,Drug-related crime,38
2022,Illegal possession of firearms and ammunition,9
2022,Kidnapping,4
2022,Malicious damage to property,131
2022,Murder,21
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,61
2022,Robbery at non-residential premises,19
2022,Robbery at residential premises,12
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,67
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,18
2022,Shoplifting,1
2022,Stock-theft,180
2022,Street Robbery,32
2022,TRIO crimes,35
2022,Theft of motor vehicle and motorcycle,5
2022,Theft out of or from motor vehicle,15
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
