year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,195
2024,Attempted murder,9
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,67
2024,Burglary at residential premises,173
2024,Carjacking,3
2024,Commercial crime,91
2024,Common assault,248
2024,Common robbery,32
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,96
2024,Drug-related crime,28
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,6
2024,Malicious damage to property,124
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,49
2024,Robbery at non-residential premises,22
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,60
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,71
2024,Stock-theft,75
2024,Street Robbery,33
2024,TRIO crimes,33
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,29
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,200
2023,Attempted murder,19
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,87
2023,Burglary at residential premises,177
2023,Carjacking,3
2023,Commercial crime,95
2023,Common assault,286
2023,Common robbery,34
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,104
2023,Drug-related crime,84
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,5
2023,Malicious damage to property,132
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,41
2023,Robbery at non-residential premises,29
2023,Robbery at residential premises,23
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,84
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,55
2023,Stock-theft,67
2023,Street Robbery,29
2023,TRIO crimes,55
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,24
