year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,301
2024,Attempted murder,60
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,197
2024,Burglary at residential premises,220
2024,Carjacking,155
2024,Commercial crime,308
2024,Common assault,426
2024,Common robbery,183
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,495
2024,Drug-related crime,134
2024,Illegal possession of firearms and ammunition,64
2024,Kidnapping,116
2024,Malicious damage to property,301
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,65
2024,Robbery at non-residential premises,118
2024,Robbery at residential premises,180
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,844
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,21
2024,Shoplifting,146
2024,Stock-theft,0
2024,Street Robbery,463
2024,TRIO crimes,453
2024,Theft of motor vehicle and motorcycle,294
2024,Theft out of or from motor vehicle,279
2024,Truck hijacking,8
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,274
2023,Attempted murder,72
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,277
2023,Burglary at residential premises,263
2023,Carjacking,159
2023,Commercial crime,211
2023,Common assault,476
2023,Common robbery,162
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,219
2023,Drug-related crime,182
2023,Illegal possession of firearms and ammunition,54
2023,Kidnapping,125
2023,Malicious damage to property,295
2023,Murder,40
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,59
2023,Robbery at non-residential premises,90
2023,Robbery at residential premises,146
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,754
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,12
2023,Shoplifting,128
2023,Stock-theft,0
2023,Street Robbery,350
2023,TRIO crimes,395
2023,Theft of motor vehicle and motorcycle,295
2023,Theft out of or from motor vehicle,285
