year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,208
2024,Attempted murder,69
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,94
2024,Burglary at residential premises,155
2024,Carjacking,164
2024,Commercial crime,423
2024,Common assault,250
2024,Common robbery,184
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,206
2024,Drug-related crime,86
2024,Illegal possession of firearms and ammunition,33
2024,Kidnapping,77
2024,Malicious damage to property,126
2024,Murder,29
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,51
2024,Robbery at non-residential premises,29
2024,Robbery at residential premises,49
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,442
2024,Sexual Offences detected as a result of police action,6
2024,Sexual assault,9
2024,Shoplifting,64
2024,Stock-theft,0
2024,Street Robbery,245
2024,TRIO crimes,242
2024,Theft of motor vehicle and motorcycle,86
2024,Theft out of or from motor vehicle,155
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,181
2023,Attempted murder,43
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,97
2023,Burglary at residential premises,152
2023,Carjacking,216
2023,Commercial crime,353
2023,Common assault,252
2023,Common robbery,185
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,187
2023,Drug-related crime,69
2023,Illegal possession of firearms and ammunition,41
2023,Kidnapping,66
2023,Malicious damage to property,118
2023,Murder,33
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,60
2023,Robbery at non-residential premises,39
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,526
2023,Sexual Offences detected as a result of police action,6
2023,Sexual assault,15
2023,Shoplifting,44
2023,Stock-theft,0
2023,Street Robbery,206
2023,TRIO crimes,319
2023,Theft of motor vehicle and motorcycle,100
2023,Theft out of or from motor vehicle,156
