year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,226
2024,Attempted murder,38
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at residential premises,252
2024,Carjacking,56
2024,Commercial crime,269
2024,Common assault,229
2024,Common robbery,285
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,118
2024,Drug-related crime,133
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,45
2024,Malicious damage to property,160
2024,Murder,28
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,29
2024,Robbery at non-residential premises,38
2024,Robbery at residential premises,117
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,520
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,98
2024,Stock-theft,0
2024,Street Robbery,211
2024,TRIO crimes,211
2024,Theft of motor vehicle and motorcycle,231
2024,Theft out of or from motor vehicle,195
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,253
2023,Attempted murder,20
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,74
2023,Burglary at residential premises,236
2023,Carjacking,46
2023,Commercial crime,238
2023,Common assault,248
2023,Common robbery,338
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,68
2023,Drug-related crime,127
2023,Illegal possession of firearms and ammunition,26
2023,Kidnapping,29
2023,Malicious damage to property,138
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,25
2023,Robbery at non-residential premises,34
2023,Robbery at residential premises,108
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,443
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,11
2023,Shoplifting,118
2023,Stock-theft,0
2023,Street Robbery,254
2023,TRIO crimes,188
2023,Theft of motor vehicle and motorcycle,340
