year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,257
2024,Attempted murder,83
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,111
2024,Burglary at residential premises,241
2024,Carjacking,111
2024,Commercial crime,182
2024,Common assault,249
2024,Common robbery,124
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,115
2024,Drug-related crime,15
2024,Illegal possession of firearms and ammunition,33
2024,Kidnapping,91
2024,Malicious damage to property,181
2024,Murder,88
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,44
2024,Robbery at non-residential premises,105
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,513
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,42
2024,Stock-theft,0
2024,Street Robbery,288
2024,TRIO crimes,274
2024,Theft of motor vehicle and motorcycle,128
2024,Theft out of or from motor vehicle,141
2024,Truck hijacking,14
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,241
2023,Attempted murder,80
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,73
2023,Burglary at residential premises,207
2023,Carjacking,125
2023,Commercial crime,175
2023,Common assault,283
2023,Common robbery,136
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,39
2023,Drug-related crime,20
2023,Illegal possession of firearms and ammunition,24
2023,Kidnapping,106
2023,Malicious damage to property,171
2023,Murder,87
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,77
2023,Robbery at residential premises,63
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,492
2023,Sexual Offences detected as a result of police action,15
2023,Sexual assault,11
2023,Shoplifting,45
2023,Stock-theft,0
2023,Street Robbery,215
2023,TRIO crimes,265
2023,Theft of motor vehicle and motorcycle,135
