year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,274
2024,Attempted murder,48
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,45
2024,Burglary at residential premises,155
2024,Carjacking,110
2024,Commercial crime,128
2024,Common assault,295
2024,Common robbery,84
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,105
2024,Drug-related crime,69
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,40
2024,Malicious damage to property,133
2024,Murder,39
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,70
2024,Robbery at non-residential premises,43
2024,Robbery at residential premises,64
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,366
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,18
2024,Shoplifting,52
2024,Stock-theft,0
2024,Street Robbery,221
2024,TRIO crimes,217
2024,Theft of motor vehicle and motorcycle,218
2024,Theft out of or from motor vehicle,70
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,137
2023,Attempted murder,22
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,27
2023,Burglary at residential premises,75
2023,Carjacking,27
2023,Commercial crime,68
2023,Common assault,138
2023,Common robbery,30
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,51
2023,Drug-related crime,34
2023,Illegal possession of firearms and ammunition,10
2023,Kidnapping,8
2023,Malicious damage to property,66
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,26
2023,Robbery at residential premises,41
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,129
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,22
2023,Stock-theft,0
2023,Street Robbery,33
2023,TRIO crimes,94
2023,Theft of motor vehicle and motorcycle,100
2023,Theft out of or from motor vehicle,42
2023,Truck hijacking,2
