year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,575
2024,Attempted murder,88
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,55
2024,Burglary at residential premises,253
2024,Carjacking,76
2024,Commercial crime,153
2024,Common assault,793
2024,Common robbery,118
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,415
2024,Drug-related crime,696
2024,Illegal possession of firearms and ammunition,80
2024,Kidnapping,93
2024,Malicious damage to property,362
2024,Murder,72
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,108
2024,Robbery at non-residential premises,53
2024,Robbery at residential premises,120
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,504
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,138
2024,Stock-theft,0
2024,Street Robbery,250
2024,TRIO crimes,249
2024,Theft of motor vehicle and motorcycle,46
2024,Theft out of or from motor vehicle,132
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,564
2023,Attempted murder,64
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,69
2023,Burglary at residential premises,309
2023,Carjacking,118
2023,Commercial crime,139
2023,Common assault,732
2023,Common robbery,154
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,262
2023,Drug-related crime,758
2023,Illegal possession of firearms and ammunition,36
2023,Kidnapping,93
2023,Malicious damage to property,387
2023,Murder,68
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,132
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,110
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,559
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,17
2023,Shoplifting,142
2023,Stock-theft,0
2023,Street Robbery,302
2023,TRIO crimes,255
2023,Theft of motor vehicle and motorcycle,66
2023,Theft out of or from motor vehicle,154
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,566
2022,Attempted murder,50
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,52
2022,Burglary at residential premises,298
2022,Carjacking,89
2022,Commercial crime,153
2022,Common assault,691
2022,Common robbery,133
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,200
2022,Drug-related crime,696
2022,Illegal possession of firearms and ammunition,40
2022,Kidnapping,35
2022,Malicious damage to property,441
2022,Murder,64
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,130
2022,Robbery at non-residential premises,43
2022,Robbery at residential premises,88
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,460
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,19
2022,Shoplifting,177
2022,Stock-theft,0
2022,Street Robbery,239
2022,TRIO crimes,220
2022,Theft of motor vehicle and motorcycle,100
2022,Theft out of or from motor vehicle,138
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,540
2021,Attempted murder,39
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,68
2021,Burglary at residential premises,338
2021,Carjacking,76
2021,Commercial crime,127
2021,Common assault,686
2021,Common robbery,148
2021,Contact sexual offences,5
2021,Crimen Injuria,0
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,91
2021,Drug-related crime,620
2021,Illegal possession of firearms and ammunition,24
2021,Kidnapping,22
2021,Malicious damage to property,372
2021,Murder,54
2021,Neglect and ill-treatment of children,8
2021,Public violence,1
2021,Rape,111
2021,Robbery at non-residential premises,37
