year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,674
2024,Attempted murder,159
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,82
2024,Burglary at residential premises,227
2024,Carjacking,190
2024,Commercial crime,150
2024,Common assault,861
2024,Common robbery,214
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,129
2024,Drug-related crime,582
2024,Illegal possession of firearms and ammunition,86
2024,Kidnapping,145
2024,Malicious damage to property,678
2024,Murder,95
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,79
2024,Robbery at non-residential premises,64
2024,Robbery at residential premises,54
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,819
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,21
2024,Shoplifting,244
2024,Stock-theft,6
2024,Street Robbery,315
2024,TRIO crimes,308
2024,Theft of motor vehicle and motorcycle,69
2024,Theft out of or from motor vehicle,120
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,545
2023,Attempted murder,101
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,89
2023,Burglary at residential premises,276
2023,Carjacking,165
2023,Commercial crime,153
2023,Common assault,965
2023,Common robbery,178
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,110
2023,Drug-related crime,541
2023,Illegal possession of firearms and ammunition,85
2023,Kidnapping,101
2023,Malicious damage to property,642
2023,Murder,89
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,84
2023,Robbery at non-residential premises,54
2023,Robbery at residential premises,26
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,616
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,23
2023,Shoplifting,274
2023,Stock-theft,0
2023,Street Robbery,356
2023,TRIO crimes,245
2023,Theft of motor vehicle and motorcycle,67
2023,Theft out of or from motor vehicle,150
