year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,417
2024,Attempted murder,73
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,57
2024,Burglary at residential premises,257
2024,Carjacking,145
2024,Commercial crime,110
2024,Common assault,695
2024,Common robbery,70
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,53
2024,Drug-related crime,337
2024,Illegal possession of firearms and ammunition,43
2024,Kidnapping,99
2024,Malicious damage to property,320
2024,Murder,112
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,90
2024,Robbery at non-residential premises,40
2024,Robbery at residential premises,85
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,497
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,154
2024,Stock-theft,5
2024,Street Robbery,279
2024,TRIO crimes,270
2024,Theft of motor vehicle and motorcycle,33
2024,Theft out of or from motor vehicle,58
2024,Truck hijacking,9
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,352
2023,Attempted murder,56
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,60
2023,Burglary at residential premises,238
2023,Carjacking,97
2023,Commercial crime,74
2023,Common assault,600
2023,Common robbery,52
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,59
2023,Drug-related crime,214
2023,Illegal possession of firearms and ammunition,37
2023,Kidnapping,67
2023,Malicious damage to property,303
2023,Murder,94
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,109
2023,Robbery at non-residential premises,31
2023,Robbery at residential premises,59
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,350
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,19
2023,Shoplifting,92
2023,Stock-theft,2
2023,Street Robbery,161
2023,TRIO crimes,187
2023,Theft of motor vehicle and motorcycle,52
2023,Theft out of or from motor vehicle,59
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,384
2022,Attempted murder,47
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,69
2022,Burglary at residential premises,278
2022,Carjacking,107
2022,Commercial crime,82
2022,Common assault,488
2022,Common robbery,36
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,24
2022,Drug-related crime,180
2022,Illegal possession of firearms and ammunition,50
2022,Kidnapping,38
2022,Malicious damage to property,277
2022,Murder,85
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,88
2022,Robbery at non-residential premises,36
2022,Robbery at residential premises,60
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,354
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,18
2022,Shoplifting,36
2022,Stock-theft,4
2022,Street Robbery,146
2022,TRIO crimes,203
2022,Theft of motor vehicle and motorcycle,41
2022,Theft out of or from motor vehicle,51
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,408
2021,Attempted murder,58
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,79
2021,Burglary at residential premises,255
2021,Carjacking,63
2021,Commercial crime,65
2021,Common assault,502
2021,Common robbery,42
2021,Contact sexual offences,0
2021,Crimen Injuria,15
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,38
2021,Drug-related crime,147
2021,Illegal possession of firearms and ammunition,23
2021,Kidnapping,13
2021,Malicious damage to property,289
2021,Murder,65
2021,Neglect and ill-treatment of children,5
2021,Public violence,2
2021,Rape,81
2021,Robbery at non-residential premises,44
2021,Robbery at residential premises,55
