year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,187
2024,Attempted murder,52
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,151
2024,Burglary at residential premises,322
2024,Carjacking,115
2024,Commercial crime,460
2024,Common assault,463
2024,Common robbery,168
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,173
2024,Drug-related crime,379
2024,Illegal possession of firearms and ammunition,39
2024,Kidnapping,99
2024,Malicious damage to property,187
2024,Murder,63
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,89
2024,Robbery at residential premises,66
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,563
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,103
2024,Stock-theft,0
2024,Street Robbery,281
2024,TRIO crimes,270
2024,Theft of motor vehicle and motorcycle,378
2024,Theft out of or from motor vehicle,296
2024,Truck hijacking,11
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,209
2023,Attempted murder,50
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,152
2023,Burglary at residential premises,320
2023,Carjacking,99
2023,Commercial crime,370
2023,Common assault,440
2023,Common robbery,157
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,145
2023,Drug-related crime,311
2023,Illegal possession of firearms and ammunition,39
2023,Kidnapping,88
2023,Malicious damage to property,195
2023,Murder,50
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,46
2023,Robbery at non-residential premises,71
2023,Robbery at residential premises,84
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,537
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,110
2023,Stock-theft,0
2023,Street Robbery,265
2023,TRIO crimes,254
2023,Theft of motor vehicle and motorcycle,397
