year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,396
2024,Attempted murder,51
2024,Attempted sexual offences,1
2024,Bank robbery,1
2024,Burglary at non-residential premises,180
2024,Burglary at residential premises,574
2024,Carjacking,78
2024,Commercial crime,1054
2024,Common assault,614
2024,Common robbery,184
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,161
2024,Drug-related crime,149
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,78
2024,Malicious damage to property,303
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,107
2024,Robbery at non-residential premises,71
2024,Robbery at residential premises,161
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,525
2024,Sexual Offences detected as a result of police action,3
2024,Sexual assault,19
2024,Shoplifting,279
2024,Stock-theft,0
2024,Street Robbery,321
2024,TRIO crimes,310
2024,Theft of motor vehicle and motorcycle,531
2024,Theft out of or from motor vehicle,806
2024,Truck hijacking,9
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,460
2023,Attempted murder,77
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,193
2023,Burglary at residential premises,721
2023,Carjacking,141
2023,Commercial crime,904
2023,Common assault,740
2023,Common robbery,288
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,314
2023,Drug-related crime,165
2023,Illegal possession of firearms and ammunition,35
2023,Kidnapping,91
2023,Malicious damage to property,402
2023,Murder,69
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,144
2023,Robbery at non-residential premises,69
2023,Robbery at residential premises,166
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,712
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,25
2023,Shoplifting,300
2023,Stock-theft,0
2023,Street Robbery,327
2023,TRIO crimes,376
2023,Theft of motor vehicle and motorcycle,683
2023,Theft out of or from motor vehicle,608
2023,Truck hijacking,8
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,542
2022,Attempted murder,72
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,239
2022,Burglary at residential premises,667
2022,Carjacking,138
2022,Commercial crime,871
2022,Common assault,854
2022,Common robbery,338
2022,Contact sexual offences,6
2022,Crimen Injuria,-7
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,228
2022,Drug-related crime,137
2022,Illegal possession of firearms and ammunition,23
2022,Kidnapping,77
2022,Malicious damage to property,453
2022,Murder,63
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,135
2022,Robbery at non-residential premises,99
2022,Robbery at residential premises,201
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,753
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,46
2022,Shoplifting,314
2022,Stock-theft,0
2022,Street Robbery,300
2022,TRIO crimes,438
2022,Theft of motor vehicle and motorcycle,627
2022,Theft out of or from motor vehicle,564
2022,Truck hijacking,14
2021,Abduction,0
2021,Arson,13
2021,Assault with the intent to inflict grievous bodily harm,529
2021,Attempted murder,62
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,190
2021,Burglary at residential premises,564
2021,Carjacking,125
2021,Commercial crime,861
2021,Common assault,860
2021,Common robbery,326
2021,Contact sexual offences,5
2021,Crimen Injuria,45
2021,Culpable homicide,38
2021,Driving under the influence of alcohol or drugs,127
2021,Drug-related crime,120
2021,Illegal possession of firearms and ammunition,26
2021,Kidnapping,33
2021,Malicious damage to property,529
2021,Murder,47
2021,Neglect and ill-treatment of children,9
2021,Public violence,6
2021,Rape,149
2021,Robbery at non-residential premises,91
