year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,965
2024,Attempted murder,129
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,130
2024,Burglary at residential premises,374
2024,Carjacking,270
2024,Commercial crime,484
2024,Common assault,559
2024,Common robbery,175
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,534
2024,Drug-related crime,574
2024,Illegal possession of firearms and ammunition,96
2024,Kidnapping,190
2024,Malicious damage to property,468
2024,Murder,178
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,198
2024,Robbery at non-residential premises,79
2024,Robbery at residential premises,117
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,882
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,21
2024,Shoplifting,223
2024,Stock-theft,0
2024,Street Robbery,468
2024,TRIO crimes,466
2024,Theft of motor vehicle and motorcycle,180
2024,Theft out of or from motor vehicle,197
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,950
2023,Attempted murder,114
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,141
2023,Burglary at residential premises,411
2023,Carjacking,201
2023,Commercial crime,420
2023,Common assault,690
2023,Common robbery,187
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,426
2023,Drug-related crime,487
2023,Illegal possession of firearms and ammunition,49
2023,Kidnapping,116
2023,Malicious damage to property,484
2023,Murder,166
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,174
2023,Robbery at non-residential premises,71
2023,Robbery at residential premises,131
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,850
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,9
2023,Shoplifting,212
2023,Stock-theft,0
2023,Street Robbery,443
2023,TRIO crimes,403
2023,Theft of motor vehicle and motorcycle,200
2023,Theft out of or from motor vehicle,209
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,12
2022,Assault with the intent to inflict grievous bodily harm,913
2022,Attempted murder,90
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,100
2022,Burglary at residential premises,265
2022,Carjacking,168
2022,Commercial crime,375
2022,Common assault,536
2022,Common robbery,139
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,414
2022,Drug-related crime,453
2022,Illegal possession of firearms and ammunition,75
2022,Kidnapping,66
2022,Malicious damage to property,507
2022,Murder,141
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,158
2022,Robbery at non-residential premises,95
2022,Robbery at residential premises,184
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,817
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,10
2022,Shoplifting,153
2022,Stock-theft,0
2022,Street Robbery,369
2022,TRIO crimes,447
2022,Theft of motor vehicle and motorcycle,167
2022,Theft out of or from motor vehicle,220
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,10
