year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,480
2024,Attempted murder,197
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,200
2024,Burglary at residential premises,242
2024,Carjacking,193
2024,Commercial crime,190
2024,Common assault,729
2024,Common robbery,282
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,347
2024,Drug-related crime,130
2024,Illegal possession of firearms and ammunition,153
2024,Kidnapping,171
2024,Malicious damage to property,249
2024,Murder,222
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,161
2024,Robbery at non-residential premises,99
2024,Robbery at residential premises,93
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,948
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,18
2024,Shoplifting,98
2024,Stock-theft,0
2024,Street Robbery,393
2024,TRIO crimes,385
2024,Theft of motor vehicle and motorcycle,175
2024,Theft out of or from motor vehicle,279
2024,Truck hijacking,7
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,479
2023,Attempted murder,193
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,185
2023,Burglary at residential premises,241
2023,Carjacking,205
2023,Commercial crime,291
2023,Common assault,701
2023,Common robbery,254
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,363
2023,Drug-related crime,90
2023,Illegal possession of firearms and ammunition,141
2023,Kidnapping,133
2023,Malicious damage to property,299
2023,Murder,168
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,132
2023,Robbery at non-residential premises,132
2023,Robbery at residential premises,72
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,936
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,37
2023,Shoplifting,111
2023,Stock-theft,0
2023,Street Robbery,517
2023,TRIO crimes,409
2023,Theft of motor vehicle and motorcycle,214
2023,Theft out of or from motor vehicle,228
2023,Truck hijacking,10
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,506
2022,Attempted murder,137
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,168
2022,Burglary at residential premises,212
2022,Carjacking,177
2022,Commercial crime,147
2022,Common assault,622
2022,Common robbery,267
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,231
2022,Drug-related crime,79
2022,Illegal possession of firearms and ammunition,78
2022,Kidnapping,129
2022,Malicious damage to property,305
2022,Murder,116
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,161
2022,Robbery at non-residential premises,115
2022,Robbery at residential premises,75
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,785
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,25
2022,Shoplifting,95
2022,Stock-theft,0
2022,Street Robbery,411
2022,TRIO crimes,367
2022,Theft of motor vehicle and motorcycle,159
2022,Theft out of or from motor vehicle,217
2022,Truck hijacking,7
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,501
2021,Attempted murder,76
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,157
2021,Burglary at residential premises,145
2021,Carjacking,101
2021,Commercial crime,116
2021,Common assault,598
2021,Common robbery,240
2021,Contact sexual offences,1
2021,Crimen Injuria,13
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,60
2021,Drug-related crime,35
2021,Illegal possession of firearms and ammunition,62
2021,Kidnapping,31
2021,Malicious damage to property,204
2021,Murder,88
2021,Neglect and ill-treatment of children,9
2021,Public violence,0
2021,Rape,88
2021,Robbery at non-residential premises,73
2021,Robbery at residential premises,76
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,593
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,26
2021,Shoplifting,87
2021,Stock-theft,0
2021,Street Robbery,337
2021,TRIO crimes,250
2021,Theft of motor vehicle and motorcycle,150
2021,Theft out of or from motor vehicle,171
2021,Truck hijacking,4
2020,Abduction,0
2020,Arson,3
2020,Assault with the intent to inflict grievous bodily harm,581
2020,Attempted murder,112
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,211
2020,Burglary at residential premises,286
2020,Carjacking,135
2020,Commercial crime,137
2020,Common assault,672
2020,Common robbery,277
2020,Contact sexual offences,4
2020,Crimen Injuria,11
2020,Culpable homicide,22
2020,Driving under the influence of alcohol or drugs,358
2020,Drug-related crime,55
2020,Illegal possession of firearms and ammunition,62
