year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,546
2024,Attempted murder,135
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,315
2024,Burglary at residential premises,86
2024,Carjacking,123
2024,Commercial crime,839
2024,Common assault,755
2024,Common robbery,850
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,510
2024,Drug-related crime,1227
2024,Illegal possession of firearms and ammunition,175
2024,Kidnapping,157
2024,Malicious damage to property,246
2024,Murder,228
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,104
2024,Robbery at non-residential premises,239
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,1582
2024,Sexual Offences detected as a result of police action,278
2024,Sexual assault,27
2024,Shoplifting,429
2024,Stock-theft,0
2024,Street Robbery,392
2024,TRIO crimes,383
2024,Theft of motor vehicle and motorcycle,289
2024,Theft out of or from motor vehicle,750
2024,Truck hijacking,7
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,560
2023,Attempted murder,140
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,459
2023,Burglary at residential premises,107
2023,Carjacking,124
2023,Commercial crime,953
2023,Common assault,724
2023,Common robbery,1011
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,475
2023,Drug-related crime,1099
2023,Illegal possession of firearms and ammunition,182
2023,Kidnapping,182
2023,Malicious damage to property,247
2023,Murder,162
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,113
2023,Robbery at non-residential premises,250
2023,Robbery at residential premises,29
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,1470
2023,Sexual Offences detected as a result of police action,200
2023,Sexual assault,18
2023,Shoplifting,439
2023,Stock-theft,0
2023,Street Robbery,1058
2023,TRIO crimes,403
2023,Theft of motor vehicle and motorcycle,338
2023,Theft out of or from motor vehicle,780
2023,Truck hijacking,9
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,617
2022,Attempted murder,110
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,307
2022,Burglary at residential premises,56
2022,Carjacking,132
2022,Commercial crime,1017
2022,Common assault,775
2022,Common robbery,869
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,360
2022,Drug-related crime,818
2022,Illegal possession of firearms and ammunition,142
2022,Kidnapping,153
2022,Malicious damage to property,321
2022,Murder,118
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,105
2022,Robbery at non-residential premises,219
2022,Robbery at residential premises,19
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,1229
2022,Sexual Offences detected as a result of police action,94
2022,Sexual assault,29
2022,Shoplifting,429
2022,Stock-theft,0
2022,Street Robbery,845
2022,TRIO crimes,370
2022,Theft of motor vehicle and motorcycle,303
2022,Theft out of or from motor vehicle,586
2022,Truck hijacking,12
2021,Abduction,0
2021,Arson,2
