year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,526
2024,Attempted murder,73
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,65
2024,Burglary at residential premises,146
2024,Carjacking,75
2024,Commercial crime,179
2024,Common assault,330
2024,Common robbery,111
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,124
2024,Drug-related crime,603
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,71
2024,Malicious damage to property,327
2024,Murder,78
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,83
2024,Robbery at non-residential premises,47
2024,Robbery at residential premises,50
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,427
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,347
2024,Stock-theft,0
2024,Street Robbery,176
2024,TRIO crimes,172
2024,Theft of motor vehicle and motorcycle,62
2024,Theft out of or from motor vehicle,90
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,483
2023,Attempted murder,53
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,51
2023,Burglary at residential premises,180
2023,Carjacking,57
2023,Commercial crime,176
2023,Common assault,396
2023,Common robbery,122
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,74
2023,Drug-related crime,493
2023,Illegal possession of firearms and ammunition,13
2023,Kidnapping,43
2023,Malicious damage to property,343
2023,Murder,74
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,79
2023,Robbery at non-residential premises,31
2023,Robbery at residential premises,26
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,333
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,398
2023,Stock-theft,0
2023,Street Robbery,214
2023,TRIO crimes,114
2023,Theft of motor vehicle and motorcycle,43
2023,Theft out of or from motor vehicle,92
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,465
2022,Attempted murder,44
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,95
2022,Burglary at residential premises,168
2022,Carjacking,52
2022,Commercial crime,148
2022,Common assault,358
2022,Common robbery,106
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,93
2022,Drug-related crime,421
2022,Illegal possession of firearms and ammunition,20
2022,Kidnapping,11
2022,Malicious damage to property,408
2022,Murder,86
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,64
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,25
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,314
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,21
2022,Shoplifting,273
2022,Stock-theft,0
2022,Street Robbery,211
2022,TRIO crimes,103
2022,Theft of motor vehicle and motorcycle,79
2022,Theft out of or from motor vehicle,105
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
