year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,322
2024,Attempted murder,66
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,43
2024,Burglary at residential premises,191
2024,Carjacking,133
2024,Commercial crime,107
2024,Common assault,322
2024,Common robbery,31
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,58
2024,Drug-related crime,116
2024,Illegal possession of firearms and ammunition,28
2024,Kidnapping,92
2024,Malicious damage to property,187
2024,Murder,59
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,102
2024,Robbery at non-residential premises,43
2024,Robbery at residential premises,73
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,390
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,51
2024,Stock-theft,4
2024,Street Robbery,256
2024,TRIO crimes,249
2024,Theft of motor vehicle and motorcycle,73
2024,Theft out of or from motor vehicle,38
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,262
2023,Attempted murder,67
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,62
2023,Burglary at residential premises,224
2023,Carjacking,123
2023,Commercial crime,114
2023,Common assault,256
2023,Common robbery,32
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,57
2023,Drug-related crime,95
2023,Illegal possession of firearms and ammunition,41
2023,Kidnapping,79
2023,Malicious damage to property,202
2023,Murder,82
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,71
2023,Robbery at non-residential premises,53
2023,Robbery at residential premises,65
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,391
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,13
2023,Shoplifting,35
2023,Stock-theft,2
2023,Street Robbery,141
2023,TRIO crimes,241
2023,Theft of motor vehicle and motorcycle,50
2023,Theft out of or from motor vehicle,48
2023,Truck hijacking,9
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,267
2022,Attempted murder,48
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,41
2022,Burglary at residential premises,215
2022,Carjacking,121
2022,Commercial crime,69
2022,Common assault,257
2022,Common robbery,32
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,32
2022,Drug-related crime,55
2022,Illegal possession of firearms and ammunition,19
2022,Kidnapping,56
2022,Malicious damage to property,171
2022,Murder,65
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,75
2022,Robbery at non-residential premises,49
2022,Robbery at residential premises,80
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,364
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,6
2022,Shoplifting,22
2022,Stock-theft,1
2022,Street Robbery,112
2022,TRIO crimes,250
2022,Theft of motor vehicle and motorcycle,85
2022,Theft out of or from motor vehicle,52
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,3
