year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,551
2024,Attempted murder,95
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,108
2024,Burglary at residential premises,170
2024,Carjacking,184
2024,Commercial crime,308
2024,Common assault,405
2024,Common robbery,132
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,110
2024,Drug-related crime,305
2024,Illegal possession of firearms and ammunition,65
2024,Kidnapping,154
2024,Malicious damage to property,301
2024,Murder,72
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,94
2024,Robbery at non-residential premises,69
2024,Robbery at residential premises,75
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,624
2024,Sexual Offences detected as a result of police action,4
2024,Sexual assault,16
2024,Shoplifting,113
2024,Stock-theft,2
2024,Street Robbery,339
2024,TRIO crimes,328
2024,Theft of motor vehicle and motorcycle,217
2024,Theft out of or from motor vehicle,100
2024,Truck hijacking,11
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,424
2023,Attempted murder,91
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,125
2023,Burglary at residential premises,187
2023,Carjacking,121
2023,Commercial crime,257
2023,Common assault,440
2023,Common robbery,142
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,90
2023,Drug-related crime,240
2023,Illegal possession of firearms and ammunition,57
2023,Kidnapping,97
2023,Malicious damage to property,262
2023,Murder,97
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,105
2023,Robbery at non-residential premises,91
2023,Robbery at residential premises,76
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,548
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,127
2023,Stock-theft,2
2023,Street Robbery,244
2023,TRIO crimes,288
2023,Theft of motor vehicle and motorcycle,144
2023,Theft out of or from motor vehicle,107
2023,Truck hijacking,16
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,374
2022,Attempted murder,55
2022,Attempted sexual offences,3
2022,Bank robbery,1
2022,Burglary at non-residential premises,83
2022,Burglary at residential premises,186
2022,Carjacking,120
2022,Commercial crime,241
2022,Common assault,403
2022,Common robbery,121
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,43
2022,Drug-related crime,166
2022,Illegal possession of firearms and ammunition,49
2022,Kidnapping,34
2022,Malicious damage to property,289
2022,Murder,48
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,58
2022,Robbery at non-residential premises,86
2022,Robbery at residential premises,106
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,511
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,18
2022,Shoplifting,157
2022,Stock-theft,3
2022,Street Robbery,191
2022,TRIO crimes,312
2022,Theft of motor vehicle and motorcycle,172
2022,Theft out of or from motor vehicle,120
2022,Truck hijacking,7
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,362
2021,Attempted murder,45
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,89
2021,Burglary at residential premises,180
2021,Carjacking,85
2021,Commercial crime,175
2021,Common assault,381
2021,Common robbery,121
2021,Contact sexual offences,1
2021,Crimen Injuria,14
2021,Culpable homicide,27
2021,Driving under the influence of alcohol or drugs,34
2021,Drug-related crime,148
2021,Illegal possession of firearms and ammunition,31
2021,Kidnapping,16
2021,Malicious damage to property,241
2021,Murder,69
2021,Neglect and ill-treatment of children,8
2021,Public violence,6
2021,Rape,51
2021,Robbery at non-residential premises,57
2021,Robbery at residential premises,40
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,365
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,15
2021,Shoplifting,182
2021,Stock-theft,0
2021,Street Robbery,180
2021,TRIO crimes,182
2021,Theft of motor vehicle and motorcycle,120
2021,Theft out of or from motor vehicle,113
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,446
2020,Attempted murder,51
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,121
2020,Burglary at residential premises,342
2020,Carjacking,76
2020,Commercial crime,204
2020,Common assault,404
2020,Common robbery,133
2020,Contact sexual offences,2
2020,Crimen Injuria,8
2020,Culpable homicide,24
2020,Driving under the influence of alcohol or drugs,178
2020,Drug-related crime,301
2020,Illegal possession of firearms and ammunition,31
