year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,88
2024,Attempted murder,12
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,50
2024,Burglary at residential premises,351
2024,Carjacking,51
2024,Commercial crime,433
2024,Common assault,135
2024,Common robbery,144
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,280
2024,Drug-related crime,102
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,24
2024,Malicious damage to property,114
2024,Murder,6
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,23
2024,Robbery at non-residential premises,18
2024,Robbery at residential premises,96
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,297
2024,Sexual Offences detected as a result of police action,5
2024,Sexual assault,6
2024,Shoplifting,155
2024,Stock-theft,0
2024,Street Robbery,165
2024,TRIO crimes,165
2024,Theft of motor vehicle and motorcycle,242
2024,Theft out of or from motor vehicle,261
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,69
2023,Attempted murder,12
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,81
2023,Burglary at residential premises,319
2023,Carjacking,22
2023,Commercial crime,411
2023,Common assault,161
2023,Common robbery,141
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,303
2023,Drug-related crime,75
2023,Illegal possession of firearms and ammunition,13
2023,Kidnapping,21
2023,Malicious damage to property,113
2023,Murder,10
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,34
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,63
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,250
2023,Sexual Offences detected as a result of police action,5
2023,Sexual assault,10
2023,Shoplifting,130
2023,Stock-theft,0
2023,Street Robbery,128
2023,TRIO crimes,120
2023,Theft of motor vehicle and motorcycle,257
2023,Theft out of or from motor vehicle,335
