year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,70
2024,Attempted murder,50
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,269
2024,Burglary at residential premises,411
2024,Carjacking,220
2024,Commercial crime,1741
2024,Common assault,520
2024,Common robbery,265
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,817
2024,Drug-related crime,204
2024,Illegal possession of firearms and ammunition,35
2024,Kidnapping,176
2024,Malicious damage to property,134
2024,Murder,17
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,73
2024,Robbery at non-residential premises,105
2024,Robbery at residential premises,118
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,869
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,18
2024,Shoplifting,362
2024,Stock-theft,0
2024,Street Robbery,462
2024,TRIO crimes,443
2024,Theft of motor vehicle and motorcycle,216
2024,Theft out of or from motor vehicle,750
2024,Truck hijacking,18
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,62
2023,Attempted murder,55
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,318
2023,Burglary at residential premises,381
2023,Carjacking,251
2023,Commercial crime,1459
2023,Common assault,486
2023,Common robbery,243
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,512
2023,Drug-related crime,314
2023,Illegal possession of firearms and ammunition,44
2023,Kidnapping,175
2023,Malicious damage to property,149
2023,Murder,30
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,50
2023,Robbery at non-residential premises,75
2023,Robbery at residential premises,76
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,866
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,19
2023,Shoplifting,383
2023,Stock-theft,2
2023,Street Robbery,443
2023,TRIO crimes,402
2023,Theft of motor vehicle and motorcycle,184
2023,Theft out of or from motor vehicle,653
