year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,224
2024,Attempted murder,60
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,97
2024,Burglary at residential premises,262
2024,Carjacking,122
2024,Commercial crime,250
2024,Common assault,296
2024,Common robbery,85
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,124
2024,Drug-related crime,229
2024,Illegal possession of firearms and ammunition,31
2024,Kidnapping,91
2024,Malicious damage to property,164
2024,Murder,38
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,50
2024,Robbery at non-residential premises,65
2024,Robbery at residential premises,209
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,614
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,19
2024,Shoplifting,162
2024,Stock-theft,0
2024,Street Robbery,400
2024,TRIO crimes,396
2024,Theft of motor vehicle and motorcycle,168
2024,Theft out of or from motor vehicle,149
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,178
2023,Attempted murder,37
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,165
2023,Burglary at residential premises,254
2023,Carjacking,116
2023,Commercial crime,238
2023,Common assault,296
2023,Common robbery,113
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,104
2023,Drug-related crime,233
2023,Illegal possession of firearms and ammunition,24
2023,Kidnapping,88
2023,Malicious damage to property,189
2023,Murder,34
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,66
2023,Robbery at non-residential premises,66
2023,Robbery at residential premises,139
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,544
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,118
2023,Stock-theft,0
2023,Street Robbery,221
2023,TRIO crimes,321
2023,Theft of motor vehicle and motorcycle,206
2023,Theft out of or from motor vehicle,159
