year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,138
2024,Attempted murder,54
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,90
2024,Burglary at residential premises,463
2024,Carjacking,127
2024,Commercial crime,741
2024,Common assault,359
2024,Common robbery,203
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,190
2024,Drug-related crime,82
2024,Illegal possession of firearms and ammunition,26
2024,Kidnapping,128
2024,Malicious damage to property,203
2024,Murder,45
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,66
2024,Robbery at non-residential premises,38
2024,Robbery at residential premises,116
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,594
2024,Sexual Offences detected as a result of police action,36
2024,Sexual assault,18
2024,Shoplifting,313
2024,Stock-theft,2
2024,Street Robbery,298
2024,TRIO crimes,281
2024,Theft of motor vehicle and motorcycle,277
2024,Theft out of or from motor vehicle,284
2024,Truck hijacking,16
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,147
2023,Attempted murder,56
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,93
2023,Burglary at residential premises,499
2023,Carjacking,131
2023,Commercial crime,551
2023,Common assault,371
2023,Common robbery,171
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,108
2023,Drug-related crime,72
2023,Illegal possession of firearms and ammunition,34
2023,Kidnapping,148
2023,Malicious damage to property,238
2023,Murder,26
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,75
2023,Robbery at non-residential premises,47
2023,Robbery at residential premises,156
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,694
2023,Sexual Offences detected as a result of police action,24
2023,Sexual assault,13
2023,Shoplifting,280
2023,Stock-theft,2
2023,Street Robbery,335
2023,TRIO crimes,334
2023,Theft of motor vehicle and motorcycle,200
2023,Theft out of or from motor vehicle,282
