year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,505
2024,Attempted murder,106
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,169
2024,Burglary at residential premises,341
2024,Carjacking,261
2024,Commercial crime,218
2024,Common assault,645
2024,Common robbery,139
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,277
2024,Drug-related crime,649
2024,Illegal possession of firearms and ammunition,77
2024,Kidnapping,239
2024,Malicious damage to property,422
2024,Murder,107
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,181
2024,Robbery at non-residential premises,53
2024,Robbery at residential premises,18
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,673
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,27
2024,Shoplifting,213
2024,Stock-theft,0
2024,Street Robbery,334
2024,TRIO crimes,332
2024,Theft of motor vehicle and motorcycle,102
2024,Theft out of or from motor vehicle,194
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,10
2023,Assault with the intent to inflict grievous bodily harm,604
2023,Attempted murder,74
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,147
2023,Burglary at residential premises,416
2023,Carjacking,227
2023,Commercial crime,213
2023,Common assault,809
2023,Common robbery,148
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,193
2023,Drug-related crime,574
2023,Illegal possession of firearms and ammunition,64
2023,Kidnapping,161
2023,Malicious damage to property,504
2023,Murder,105
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,149
2023,Robbery at non-residential premises,53
2023,Robbery at residential premises,54
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,755
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,38
2023,Shoplifting,90
2023,Stock-theft,0
2023,Street Robbery,420
2023,TRIO crimes,334
2023,Theft of motor vehicle and motorcycle,124
2023,Theft out of or from motor vehicle,201
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,497
2022,Attempted murder,61
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,180
2022,Burglary at residential premises,359
2022,Carjacking,179
2022,Commercial crime,165
2022,Common assault,611
2022,Common robbery,148
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,133
2022,Drug-related crime,474
2022,Illegal possession of firearms and ammunition,56
2022,Kidnapping,47
2022,Malicious damage to property,487
2022,Murder,87
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,152
2022,Robbery at non-residential premises,55
2022,Robbery at residential premises,55
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,655
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,29
2022,Shoplifting,16
2022,Stock-theft,0
2022,Street Robbery,365
2022,TRIO crimes,289
2022,Theft of motor vehicle and motorcycle,170
2022,Theft out of or from motor vehicle,205
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,485
2021,Attempted murder,65
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,158
2021,Burglary at residential premises,418
2021,Carjacking,146
2021,Commercial crime,148
2021,Common assault,564
2021,Common robbery,138
2021,Contact sexual offences,1
2021,Crimen Injuria,7
2021,Culpable homicide,17
2021,Driving under the influence of alcohol or drugs,127
2021,Drug-related crime,305
2021,Illegal possession of firearms and ammunition,55
2021,Kidnapping,30
2021,Malicious damage to property,392
2021,Murder,60
2021,Neglect and ill-treatment of children,13
2021,Public violence,4
2021,Rape,147
2021,Robbery at non-residential premises,25
2021,Robbery at residential premises,62
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,565
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,38
2021,Shoplifting,28
2021,Stock-theft,0
2021,Street Robbery,332
2021,TRIO crimes,233
2021,Theft of motor vehicle and motorcycle,158
2021,Theft out of or from motor vehicle,219
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,25
2020,Assault with the intent to inflict grievous bodily harm,720
2020,Attempted murder,93
2020,Attempted sexual offences,11
2020,Bank robbery,0
2020,Burglary at non-residential premises,201
2020,Burglary at residential premises,619
2020,Carjacking,175
2020,Commercial crime,145
2020,Common assault,644
2020,Common robbery,195
2020,Contact sexual offences,1
2020,Crimen Injuria,7
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,417
2020,Drug-related crime,346
2020,Illegal possession of firearms and ammunition,55
2020,Kidnapping,46
2020,Malicious damage to property,495
2020,Murder,127
2020,Neglect and ill-treatment of children,24
2020,Public violence,12
2020,Rape,158
2020,Robbery at non-residential premises,91
2020,Robbery at residential premises,79
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,913
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,33
2020,Shoplifting,10
2020,Stock-theft,0
2020,Street Robbery,566
2020,TRIO crimes,345
2020,Theft of motor vehicle and motorcycle,222
2020,Theft out of or from motor vehicle,385
2020,Truck hijacking,2
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,909
2019,Attempted murder,78
2019,Attempted sexual offences,8
2019,Bank robbery,0
2019,Burglary at non-residential premises,178
2019,Burglary at residential premises,788
2019,Carjacking,135
2019,Commercial crime,130
2019,Common assault,640
2019,Common robbery,214
2019,Contact sexual offences,1
2019,Crimen Injuria,6
2019,Culpable homicide,21
2019,Driving under the influence of alcohol or drugs,288
2019,Drug-related crime,990
2019,Illegal possession of firearms and ammunition,74
2019,Kidnapping,48
2019,Malicious damage to property,509
2019,Murder,105
2019,Neglect and ill-treatment of children,15
2019,Public violence,1
2019,Rape,168
2019,Robbery at non-residential premises,62
2019,Robbery at residential premises,70
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,763
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,30
2019,Shoplifting,16
2019,Stock-theft,2
2019,Street Robbery,493
2019,TRIO crimes,267
2019,Theft of motor vehicle and motorcycle,199
2019,Theft out of or from motor vehicle,344
2019,Truck hijacking,2
2018,Abduction,0
2018,Arson,4
2018,Assault with the intent to inflict grievous bodily harm,826
2018,Attempted murder,87
2018,Attempted sexual offences,9
2018,Bank robbery,0
2018,Burglary at non-residential premises,117
2018,Burglary at residential premises,704
2018,Carjacking,131
2018,Commercial crime,83
2018,Common assault,738
2018,Common robbery,206
2018,Contact sexual offences,1
2018,Crimen Injuria,8
2018,Culpable homicide,23
2018,Driving under the influence of alcohol or drugs,332
2018,Drug-related crime,1631
2018,Illegal possession of firearms and ammunition,115
2018,Kidnapping,82
2018,Malicious damage to property,517
2018,Murder,97
2018,Neglect and ill-treatment of children,14
2018,Public violence,5
2018,Rape,142
2018,Robbery at non-residential premises,79
2018,Robbery at residential premises,38
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,737
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,25
2018,Shoplifting,16
2018,Stock-theft,0
2018,Street Robbery,487
2018,TRIO crimes,248
2018,Theft of motor vehicle and motorcycle,220
2018,Theft out of or from motor vehicle,353
2018,Truck hijacking,2
2017,Abduction,1
2017,Arson,7
2017,Assault with the intent to inflict grievous bodily harm,913
2017,Attempted murder,82
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,142
2017,Burglary at residential premises,853
2017,Carjacking,115
2017,Commercial crime,115
2017,Common assault,1032
2017,Common robbery,215
2017,Contact sexual offences,3
2017,Crimen Injuria,18
2017,Culpable homicide,35
2017,Driving under the influence of alcohol or drugs,372
2017,Drug-related crime,1599
2017,Illegal possession of firearms and ammunition,94
